Year,revenue,year_revenue_growth,post_tax_profit,ticker
2024,41152,0.064,22951,MBB
2023,38684,0.074,21054,MBB
2022,36023,0.375,18155,MBB
2021,26200,0.292,13221,MBB
2020,20278,0.127,8606,MBB
2019,18000,0.234,8069,MBB
2018,14583,0.3,6190,MBB
2017,11219,0.406,3490,MBB
2016,7979,0.09,2884,MBB
2015,7319,0.04,2512,MBB
2014,7036,0.149,2503,MBB
2013,6124,-0.072,2286,MBB
2012,6603,0.264,2320,MBB
2011,5222,0.484,1915,MBB
2010,3519,0.915,1745,MBB
2009,1838,0.294,1174,MBB
2008,1421,1.243,696,MBB
2007,633,0.599,493,MBB
2006,396,0.651,219,MBB
2005,240,0.689,109,MBB
2004,142,0.687,75,MBB
2003,84,,51,MBB
2024,62403,0.178,25483,CTG
2023,52957,0.108,20045,CTG
2022,47792,0.144,16984,CTG
2021,41788,0.175,14215,CTG
2020,35580,0.072,13785,CTG
2019,33199,0.495,9477,CTG
2018,22212,-0.18,5277,CTG
2017,27073,0.214,7459,CTG
2016,22304,0.184,6765,CTG
2015,18839,0.055,5717,CTG
2014,17862,-0.023,5728,CTG
2013,18277,-0.008,5808,CTG
2012,18420,-0.081,6170,CTG
2011,20048,0.658,6259,CTG
2010,12089,0.523,3445,CTG
2009,7936,0.104,2583,CTG
2008,7189,0.535,1804,CTG
2007,4683,0.321,1149,CTG
2006,3545,0.079,603,CTG
2005,3287,,423,CTG
2024,35508,0.282,21760,TCB
2023,27691,-0.086,18191,TCB
2022,30290,0.135,20436,TCB
2021,26699,0.424,18415,TCB
2020,18751,0.315,12582,TCB
2019,14258,0.252,10226,TCB
2018,11390,0.275,8474,TCB
2017,8930,0.097,6446,TCB
2016,8142,0.129,3149,TCB
2015,7214,0.229,1529,TCB
2014,5871,0.354,1082,TCB
2013,4336,-0.152,659,TCB
2012,5116,-0.035,766,TCB
2011,5298,0.664,3154,TCB
2010,3184,0.274,2073,TCB
2009,2500,0.42,1700,TCB
2008,1761,0.903,1183,TCB
2007,925,1.023,510,TCB
2006,457,0.302,257,TCB
2005,351,0.981,206,TCB
2004,177,0.598,77,TCB
2003,111,0.646,30,TCB
2002,67,,5,TCB
2024,62849,0.194,9427,FPT
2023,52618,0.196,7788,FPT
2022,44010,0.234,6491,FPT
2021,35657,0.195,5349,FPT
2020,29830,0.076,4424,FPT
2019,27717,0.194,3912,FPT
2018,23214,-0.456,3234,FPT
2017,42659,0.079,3528,FPT
2016,39531,0.041,2576,FPT
2015,37960,0.163,2438,FPT
2014,32645,0.208,2079,FPT
2013,27028,0.099,2065,FPT
2012,24594,-0.031,1985,FPT
2011,25370,0.267,2079,FPT
2010,20017,0.088,1692,FPT
2009,18404,0.123,1406,FPT
2008,16382,0.214,1051,FPT
2007,13499,-0.369,880,FPT
2006,21400,0.518,536,FPT
2005,14101,0.614,301,FPT
2004,8735,1.106,175,FPT
2003,4148,1.738,44,FPT
2002,1515,,18,FPT
2024,7934,0.057,384,CMG
2023,7505,-0.014,380,CMG
2022,7609,0.301,356,CMG
2021,5846,0.187,313,CMG
2020,4924,-0.021,237,CMG
2019,5032,0.015,219,CMG
2018,4956,0.013,188,CMG
2017,4892,0.141,216,CMG
2016,4289,0.17,147,CMG
2015,3665,0.195,145,CMG
2014,3068,0.452,79,CMG
2013,2113,-0.191,30,CMG
2012,2611,-0.129,-99,CMG
2011,2999,-0.143,-21,CMG
2010,3498,0.026,70,CMG
2009,3409,0.703,123,CMG
2008,2001,0.806,87,CMG
2007,1108,,72,CMG
2024,401,-0.241,53,KSB
2023,529,-0.385,74,KSB
2022,859,-0.028,152,KSB
2021,884,-0.331,253,KSB
2020,1322,0.006,328,KSB
2019,1314,0.124,330,KSB
2018,1169,0.068,327,KSB
2017,1094,0.287,277,KSB
2016,850,0.152,206,KSB
2015,738,0.182,125,KSB
2014,624,0.159,97,KSB
2013,539,-0.055,83,KSB
2012,570,0.028,90,KSB
2011,554,0.112,120,KSB
2010,498,0.445,126,KSB
2009,345,0.043,92,KSB
2008,330,0.251,72,KSB
2007,264,,47,KSB
2024,12870,0.013,1108,VCG
2023,12704,0.503,396,VCG
2022,8453,0.47,931,VCG
2021,5749,0.036,520,VCG
2020,5551,-0.416,1690,VCG
2019,9502,-0.024,787,VCG
2018,9731,-0.107,637,VCG
2017,10898,0.275,1629,VCG
2016,8548,0.065,713,VCG
2015,8026,-0.042,524,VCG
2014,8376,-0.246,376,VCG
2013,11104,-0.123,523,VCG
2012,12665,-0.137,80,VCG
2011,14671,-0.026,178,VCG
2010,15062,0.157,466,VCG
2009,13017,0.392,203,VCG
2008,9352,0.327,546,VCG
2007,7048,,434,VCG
2024,3308,0.232,495,HHV
2023,2686,0.282,364,HHV
2022,2095,0.125,297,HHV
2021,1861,0.549,291,HHV
2020,1201,1.518,176,HHV
2019,477,0.209,155,HHV
2018,395,-0.088,13,HHV
2017,433,2.574,12,HHV
2016,121,-0.587,4,HHV
2015,293,0.146,2,HHV
2014,256,,4,HHV
2024,138855,0.167,12020,HPG
2023,118953,-0.159,6800,HPG
2022,141409,-0.055,8444,HPG
2021,149680,0.661,34521,HPG
2020,90119,0.416,13506,HPG
2019,63658,0.14,7578,HPG
2018,55836,0.21,8601,HPG
2017,46162,0.387,8015,HPG
2016,33283,0.212,6606,HPG
2015,27453,0.076,3504,HPG
2014,25525,0.348,3250,HPG
2013,18934,0.125,2010,HPG
2012,16827,-0.057,1031,HPG
2011,17852,0.251,1297,HPG
2010,14267,0.756,1376,HPG
2009,8123,-0.029,1271,HPG
2008,8365,0.482,859,HPG
2007,5643,3.279,644,HPG
2006,1319,0.451,72,HPG
2005,909,,3,HPG
2024,40420,0.232,577,HSG
2023,32806,-0.194,814,HSG
2022,40695,-0.281,-1068,HSG
2021,56561,0.882,4379,HSG
2020,30054,0.11,1543,HSG
2019,27074,-0.206,490,HSG
2018,34100,0.206,136,HSG
2017,28269,0.432,1225,HSG
2016,19739,0.165,1754,HSG
2015,16945,0.052,715,HSG
2014,16107,0.303,433,HSG
2013,12363,0.205,558,HSG
2012,10259,0.128,394,HSG
2011,9092,0.682,230,HSG
2010,5405,0.652,91,HSG
2009,3272,0.205,462,HSG
2008,2716,0.347,82,HSG
2007,2016,0.814,151,HSG
2006,1111,0.482,105,HSG
2005,750,,19,HSG
2024,20609,0.108,453,NKG
2023,18596,-0.194,117,NKG
2022,23071,-0.181,-125,NKG
2021,28173,1.437,2225,NKG
2020,11560,-0.051,295,NKG
2019,12177,-0.178,47,NKG
2018,14812,0.174,57,NKG
2017,12619,0.412,708,NKG
2016,8936,0.554,518,NKG
2015,5751,-0.015,126,NKG
2014,5835,0.251,77,NKG
2013,4663,0.593,52,NKG
2012,2927,0.134,-105,NKG
2011,2582,0.006,12,NKG
2010,2568,0.799,104,NKG
2009,1427,1.918,74,NKG
2008,489,0.252,5,NKG
2007,391,,5,NKG
2024,284017,0.037,3161,PLX
2023,273979,-0.099,3077,PLX
2022,304064,0.799,1902,PLX
2021,169009,0.364,3124,PLX
2020,123919,-0.346,1253,PLX
2019,189604,-0.012,4677,PLX
2018,191932,0.249,4155,PLX
2017,153697,0.249,3912,PLX
2016,123097,-0.162,5147,PLX
2015,146920,-0.289,3414,PLX
2014,206781,,-9,PLX
2024,11732,0.228,1470,PVT
2023,9556,0.056,1222,PVT
2022,9047,0.213,1156,PVT
2021,7460,0.011,835,PVT
2020,7383,-0.048,830,PVT
2019,7758,0.031,821,PVT
2018,7523,0.224,780,PVT
2017,6148,-0.087,534,PVT
2016,6734,0.169,483,PVT
2015,5761,0.094,433,PVT
2014,5268,0.062,402,PVT
2013,4961,0.112,314,PVT
2012,4461,0.073,8,PVT
2011,4157,0.176,43,PVT
2010,3536,0.833,39,PVT
2009,1929,0.739,-17,PVT
2008,1109,2.533,84,PVT
2007,314,-0.29,19,PVT
2006,442,1.038,45,PVT
2005,217,,23,PVT
2024,83178,0.063,4272,MSN
2023,78252,0.027,1870,MSN
2022,76189,-0.14,4754,MSN
2021,88629,0.148,10101,MSN
2020,77218,1.067,1395,MSN
2019,37354,-0.022,6365,MSN
2018,38188,0.015,5622,MSN
2017,37621,-0.131,3608,MSN
2016,43297,0.414,3772,MSN
2015,30628,0.904,2527,MSN
2014,16089,0.347,2037,MSN
2013,11943,0.149,1307,MSN
2012,10389,0.472,1963,MSN
2011,7057,0.263,2496,MSN
2010,5586,0.411,2629,MSN
2009,3958,1.059,680,MSN
2008,1922,,400,MSN
2007,0,,0,MSN
2006,0,,0,MSN
2024,134341,0.136,3733,MWG
2023,118280,-0.113,168,MWG
2022,133405,0.085,4102,MWG
2021,122958,0.133,4901,MWG
2020,108546,0.062,3920,MWG
2019,102174,0.181,3836,MWG
2018,86516,0.304,2880,MWG
2017,66340,0.487,2207,MWG
2016,44613,0.767,1578,MWG
2015,25253,0.603,1076,MWG
2014,15757,0.659,674,MWG
2013,9499,0.288,258,MWG
2012,7375,0.369,126,MWG
2011,5388,0.913,157,MWG
2010,2817,0.437,110,MWG
2009,1960,,49,MWG
