Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-09,33.7,0.0,-33.75(-100.00 %),36900,33700,0,0,33900.0,34.1,0.0
2025-05-08,33.75,33.75,0.5(1.50 %),1311500,43938935000,0,0,33.75,34.2,32.9
2025-05-07,33.25,33.25,0(0.00 %),1545900,52176340000,0,0,33.4,34.3,33.25
2025-05-06,33.25,33.25,0.95(2.94 %),1555200,52052765000,0,0,32.6,34.0,32.6
2025-05-05,32.3,32.3,0.85(2.70 %),588600,18786485000,0,0,31.8,32.3,31.45
2025-04-29,31.45,31.45,-0.15(-0.47 %),404900,12765000000,0,0,31.65,31.8,31.3
2025-04-28,31.6,31.6,-0.1(-0.32 %),340900,10838000000,0,0,31.8,32.25,31.5
2025-04-25,31.7,31.7,-0.3(-0.94 %),510900,16350000000,0,0,32.6,32.65,31.65
2025-04-24,32.0,32.0,0.55(1.75 %),751900,24050000000,0,0,31.85,32.75,31.3
2025-04-23,31.45,31.45,0.75(2.44 %),474400,14930000000,0,0,31.5,31.7,31.0
2025-04-22,30.7,30.7,-0.9(-2.85 %),1535900,46002000000,0,0,31.4,31.4,29.4
2025-04-21,31.6,31.6,-0.9(-2.77 %),457000,14607000000,0,0,32.7,32.75,31.55
2025-04-18,32.5,32.5,1.2(3.83 %),1034100,33605000000,0,0,31.5,33.25,31.5
2025-04-17,31.3,31.3,1(3.30 %),562600,17475000000,0,0,30.0,31.35,30.0
2025-04-16,30.3,30.3,-1.75(-5.46 %),887100,27658000000,0,0,31.8,32.0,30.3
2025-04-15,32.05,32.05,-1.5(-4.47 %),1195300,38611000000,0,0,32.65,32.75,32.0
2025-04-14,33.55,33.55,0.55(1.67 %),821300,27637000000,0,0,34.7,34.7,33.3
2025-04-11,33.0,33.0,2.15(6.97 %),1654500,52241000000,0,0,30.85,33.0,30.7
2025-04-10,30.85,30.85,2(6.93 %),823600,25408000000,0,0,30.85,30.85,30.85
2025-04-09,28.85,28.85,-2.15(-6.94 %),1992100,57647000000,0,0,28.85,29.6,28.85
2025-04-08,31.0,31.0,-2.3(-6.91 %),541200,16793000000,0,0,31.0,31.7,31.0
2025-04-04,33.3,33.3,-2.5(-6.98 %),1840500,61300000000,0,0,33.3,33.8,33.3
2025-04-03,35.8,35.8,-2.65(-6.89 %),903700,32401000000,0,0,35.8,37.8,35.8
2025-04-02,38.45,38.45,-0.1(-0.26 %),332200,12782000000,0,0,38.6,38.9,38.1
2025-04-01,38.55,38.55,0.55(1.45 %),450200,17322000000,0,0,38.15,38.7,38.15
2025-03-31,38.0,38.0,-1.3(-3.31 %),793900,30473000000,0,0,39.0,39.0,37.5
2025-03-28,39.3,39.3,-0.65(-1.63 %),257400,10187000000,0,0,39.95,39.95,39.3
2025-03-27,39.95,39.95,0.25(0.63 %),662200,26317000000,0,0,39.5,40.2,39.15
2025-03-26,39.7,39.7,-1.35(-3.29 %),1406100,56328000000,0,0,41.05,41.05,39.4
2025-03-25,41.05,41.05,-0.15(-0.36 %),447500,18416000000,0,0,41.25,41.4,41.05
2025-03-24,41.2,41.2,-0.3(-0.72 %),358900,14813000000,0,0,41.5,41.8,41.05
2025-03-21,41.5,41.5,0.35(0.85 %),476100,19787000000,0,0,41.15,41.75,41.15
2025-03-20,41.15,41.15,0(0.00 %),574100,23612000000,0,0,41.15,41.6,40.65
