Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-22,38.85,0.0,-39.45(-100.00 %),7061000,38850,0,0,39.35,39.5,38.65
2025-05-21,39.45,39.45,-0.05(-0.13 %),8638000,343553750000,71000,2790200000,39.3,40.4,39.3
2025-05-20,39.5,39.5,0.4(1.02 %),6572100,257458690000,43000,1771250000,38.7,39.5,38.7
2025-05-19,39.1,39.1,0.1(0.26 %),7238400,281636495000,91000,3501800000,38.75,39.2,38.55
2025-05-16,39.0,39.0,-0.75(-1.89 %),6562600,257458120000,43000,1703650000,39.8,39.8,39.0
2025-05-15,39.75,39.75,0.15(0.38 %),9780500,387233075000,91000,3482200000,39.6,40.15,39.25
2025-05-14,39.6,39.6,0.2(0.51 %),9319800,367386115000,43000,1729000000,39.45,39.6,39.1
2025-05-13,39.4,39.4,1.55(4.10 %),15748400,610102285000,91000,3462550000,38.1,39.4,38.1
2025-05-12,37.85,37.85,0.4(1.07 %),8966900,338326955000,93000,3504450000,37.5,37.95,37.45
2025-05-09,37.45,37.45,-0.1(-0.27 %),6244100,234457675000,91000,3444350000,37.65,37.8,37.4
2025-05-08,37.55,37.55,0.1(0.27 %),7941300,297463345000,93000,3508500000,37.4,37.6,37.2
2025-05-07,37.45,37.45,-0.15(-0.40 %),6127600,228572050000,241000,9061800000,37.5,37.55,37.15
2025-05-06,37.6,37.6,0.25(0.67 %),7236200,271536480000,43000,1666550000,37.35,37.85,37.2
2025-05-05,37.35,37.35,0.15(0.40 %),3621800,134860855000,241000,9071200000,37.3,37.5,37.05
2025-04-29,37.2,37.2,0.35(0.95 %),4933700,182610000000,23000,865950000,36.75,37.2,36.7
2025-04-28,36.85,36.85,-0.3(-0.81 %),5105100,188127000000,111000,4151400000,37.25,37.25,36.7
2025-04-25,37.15,37.15,-0.25(-0.67 %),6465300,240701000000,23000,874000000,37.2,37.5,37.05
2025-04-24,37.4,37.4,0.1(0.27 %),6793100,252545000000,62000,2332200000,37.45,37.45,36.85
2025-04-23,37.3,37.3,0.2(0.54 %),6705500,249926000000,50000,1727500000,37.4,37.65,37.0
2025-04-22,37.1,37.1,-0.15(-0.40 %),15064300,542588000000,134000,5058800000,36.9,37.15,34.65
2025-04-21,37.25,37.25,-0.2(-0.53 %),10033700,371920000000,1075000,39990000000,37.55,37.85,36.7
2025-04-18,37.45,37.45,0.2(0.54 %),8510000,321126000000,134000,5092000000,37.85,38.05,37.45
2025-04-17,37.25,37.25,0.05(0.13 %),8698900,321744000000,1075000,39990000000,37.0,37.35,36.65
2025-04-16,37.2,37.2,-0.55(-1.46 %),6581500,247248000000,114000,4293000000,37.75,38.1,37.2
2025-04-15,37.75,37.75,-0.55(-1.44 %),10253700,385896000000,0,0,37.8,38.0,37.2
2025-04-14,38.3,38.3,-0.1(-0.26 %),9750200,372266000000,225157,8868994850,38.6,38.6,37.85
2025-04-11,38.4,38.4,2.25(6.22 %),20246200,760898000000,0,0,37.0,38.5,36.55
2025-04-10,36.15,36.15,2.35(6.95 %),2907100,105091000000,0,0,36.15,36.15,36.15
2025-04-09,33.8,33.8,-2.2(-6.11 %),17505900,607187000000,0,0,33.8,37.0,33.8
2025-04-08,36.0,36.0,-2.7(-6.98 %),18688600,675863000000,81000,3292400000,36.1,38.2,36.0
2025-04-04,38.7,38.7,-0.35(-0.90 %),17693000,658176000000,20000,835000000,36.35,38.7,36.35
2025-04-03,39.05,39.05,-2.9(-6.91 %),19835700,783261000000,114000,4763300000,40.7,40.7,39.05
2025-04-02,41.95,41.95,0.1(0.24 %),5575900,233867000000,20000,830000000,41.95,42.3,41.7
2025-04-01,41.85,41.85,0.4(0.97 %),4737500,196559000000,114000,4773950000,41.65,41.85,41.05
2025-03-31,41.45,41.45,0.1(0.24 %),4619700,190395000000,20000,844000000,41.2,41.45,40.9
2025-03-28,41.35,41.35,-0.25(-0.60 %),4092900,169110000000,142100,5859890000,41.5,41.55,41.15
2025-03-27,41.6,41.6,-0.15(-0.36 %),3508800,145474000000,20000,849000000,41.4,41.75,41.25
2025-03-26,41.75,41.75,-0.55(-1.30 %),5469500,229358000000,714000,29678400000,42.25,42.45,41.6
2025-03-25,42.3,42.3,0.5(1.20 %),5036300,211887000000,20000,860000000,41.95,42.3,41.7
2025-03-24,41.8,41.8,0.15(0.36 %),6851700,283832000000,714000,29645950000,41.4,41.8,41.1
2025-03-21,41.65,41.65,0.05(0.12 %),7361100,304664000000,20000,848000000,41.6,41.65,41.05
2025-03-20,41.6,41.6,0.05(0.12 %),8810000,363246000000,114000,4686950000,41.55,41.8,41.0
2025-03-19,41.55,41.55,-0.45(-1.07 %),8668600,361088000000,20000,846000000,41.9,42.0,41.4
2025-03-18,42.0,42.0,-0.6(-1.41 %),5406700,228304000000,114000,4828400000,42.9,42.9,41.95
2025-03-17,42.6,42.6,0.3(0.71 %),3459900,146663000000,20000,787000000,42.3,42.6,42.2
2025-03-14,42.3,42.3,0(0.00 %),7787700,327042000000,114000,4768100000,42.05,42.3,41.8
2025-03-13,42.3,42.3,-0.35(-0.82 %),7914900,334908000000,20000,794000000,42.7,42.7,42.15
2025-03-12,42.65,42.65,0.05(0.12 %),9350500,400548000000,114000,4767000000,42.8,43.3,42.3
2025-03-11,42.6,42.6,0.15(0.35 %),6943500,293402000000,20000,809000000,42.0,42.6,41.8
2025-03-10,42.45,42.45,0.05(0.12 %),9163000,388325000000,2814000,119383300000,42.7,42.7,42.1
2025-03-07,42.4,42.4,0.75(1.80 %),10858900,456285000000,20000,779000000,41.7,42.4,41.65
2025-03-06,41.65,41.65,0.45(1.09 %),5639200,233358000000,114000,4708300000,41.4,41.75,41.2
2025-03-05,41.2,41.2,-0.4(-0.96 %),7812100,326675000000,20000,840000000,41.6,42.25,41.15
2025-03-04,41.6,41.6,0.35(0.85 %),7443800,308015000000,114000,4659000000,41.0,41.8,40.8
2025-03-03,41.25,41.25,-0.25(-0.60 %),7674500,315152000000,20000,840000000,41.2,41.25,40.85
2025-02-28,41.5,41.5,0(0.00 %),5529300,228136000000,114000,4704300000,41.3,41.6,41.0
2025-02-27,41.5,41.5,0.15(0.36 %),6079700,250763000000,20000,823000000,41.25,41.55,40.85
2025-02-26,41.35,41.35,-0.5(-1.19 %),9430900,389192000000,114000,4724600000,41.8,41.8,41.1
2025-02-25,41.85,41.85,-0.05(-0.12 %),5728900,238991000000,50000,1997000000,41.95,42.1,41.4
2025-02-24,41.9,41.9,0.4(0.96 %),6764800,281722000000,514900,20132440000,41.5,41.95,41.35
2025-02-21,41.5,41.5,0.65(1.59 %),7710600,316567000000,20000,762000000,40.85,41.5,40.5
2025-02-20,40.85,40.85,0.35(0.86 %),5265200,214358000000,114000,4615700000,41.05,41.05,40.45
2025-02-19,40.5,40.5,0.2(0.50 %),6136000,249335000000,20000,813000000,40.55,40.95,40.45
2025-02-18,40.3,40.3,0.15(0.37 %),6539300,264915000000,114000,4536200000,40.15,41.0,40.05
2025-02-17,40.15,40.15,-0.4(-0.99 %),5951900,240469000000,1214200,45898050000,40.5,40.65,40.15
2025-02-14,40.55,40.55,-0.3(-0.73 %),5515600,225064000000,225000,8895100000,41.0,41.35,40.5
2025-02-13,40.85,40.85,0.35(0.86 %),6945200,283286000000,20000,832000000,40.3,41.3,40.3
2025-02-12,40.5,40.5,-0.2(-0.49 %),4835000,196303000000,114000,4640100000,40.7,40.8,40.4
2025-02-11,40.7,40.7,0.4(0.99 %),7621400,308106000000,807000,32652540000,40.35,40.9,40.15
