Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-22,12.25,0.0,-12.45(-100.00 %),8481400,12250,0,0,12.5,12.5,12.2
2025-05-21,12.45,12.45,0.35(2.89 %),15181100,187238405000,0,0,12.15,12.55,12.05
2025-05-20,12.1,12.1,-0.05(-0.41 %),6132500,74728200000,0,0,12.2,12.35,12.1
2025-05-19,12.15,12.15,-0.05(-0.41 %),7670500,93983305000,0,0,12.15,12.35,12.1
2025-05-16,12.2,12.2,-0.2(-1.61 %),6694300,82251520000,0,0,12.45,12.45,12.15
2025-05-15,12.4,12.4,0.25(2.06 %),17102300,209642660000,0,0,12.2,12.45,12.05
2025-05-14,12.15,12.15,0(0.00 %),4966800,60268790000,0,0,12.15,12.3,12.05
2025-05-13,12.15,12.15,0.1(0.83 %),5417100,65460535000,0,0,12.15,12.2,12.0
2025-05-12,12.05,12.05,0.05(0.42 %),4156900,49867120000,0,0,12.1,12.15,11.9
2025-05-09,12.0,12.0,-0.15(-1.23 %),8082300,98547220000,0,0,12.2,12.5,12.0
2025-05-08,12.15,12.15,0(0.00 %),5571100,67841235000,0,0,12.25,12.3,12.05
2025-05-07,12.15,12.15,0.05(0.41 %),5346700,64953895000,0,0,12.0,12.25,12.0
2025-05-06,12.1,12.1,0(0.00 %),6767400,82510600000,0,0,12.2,12.3,12.1
2025-05-05,12.1,12.1,0.3(2.54 %),4669600,56031395000,0,0,12.05,12.15,11.8
2025-04-29,11.8,11.8,0(0.00 %),3145100,37094000000,116700,1396899000,11.95,11.95,11.75
2025-04-28,11.8,11.8,-0.1(-0.84 %),2704100,32133000000,0,0,12.0,12.05,11.8
2025-04-25,11.9,11.9,-0.05(-0.42 %),7785400,93894000000,0,0,12.0,12.35,11.85
2025-04-24,11.95,11.95,-0.15(-1.24 %),3929600,46952000000,0,0,12.15,12.15,11.8
2025-04-23,12.1,12.1,0.4(3.42 %),7988300,96293000000,0,0,12.1,12.25,11.85
2025-04-22,11.7,11.7,-0.2(-1.68 %),13634700,157379000000,0,0,11.8,11.9,11.1
2025-04-21,11.9,11.9,0.05(0.42 %),6119000,72732000000,0,0,11.85,12.05,11.7
2025-04-18,11.85,11.85,0(0.00 %),7581300,90326000000,100000,1180000000,11.9,12.05,11.8
2025-04-17,11.85,11.85,0(0.00 %),3434900,40486000000,0,0,11.8,11.9,11.65
2025-04-16,11.85,11.85,0.05(0.42 %),5318700,62920000000,100000,1180000000,11.9,11.95,11.75
2025-04-15,11.8,11.8,0.15(1.29 %),12952900,152999000000,0,0,11.6,12.15,11.4
2025-04-14,11.65,11.65,0.25(2.19 %),7659300,89136000000,0,0,11.6,11.8,11.5
2025-04-11,11.4,11.4,0.7(6.54 %),12379000,139311000000,1179675,11796750000,11.3,11.4,10.95
2025-04-10,10.7,10.7,0.7(7.00 %),511400,5471000000,0,0,10.7,10.7,10.7
2025-04-09,10.0,10.0,-0.45(-4.31 %),10225300,103323000000,0,0,9.72,10.7,9.72
2025-04-08,10.45,10.45,-0.75(-6.70 %),9479400,99777000000,0,0,10.7,11.1,10.45
2025-04-04,11.2,11.2,-0.2(-1.75 %),12230200,134743000000,0,0,10.65,11.5,10.65
2025-04-03,11.4,11.4,-0.85(-6.94 %),11935900,138090000000,0,0,11.7,11.95,11.4
2025-04-02,12.25,12.25,0(0.00 %),3806200,47066000000,0,0,12.3,12.5,12.25
2025-04-01,12.25,12.25,0.05(0.41 %),1666100,20393000000,0,0,12.3,12.35,12.15
2025-03-31,12.2,12.2,0.1(0.83 %),6387600,77484000000,0,0,12.05,12.35,11.95
2025-03-28,12.1,12.1,-0.25(-2.02 %),6660600,81357000000,0,0,12.35,12.4,12.1
2025-03-27,12.35,12.35,-0.05(-0.40 %),1890700,23444000000,0,0,12.4,12.5,12.35
2025-03-26,12.4,12.4,0.05(0.40 %),4364900,54304000000,0,0,12.4,12.55,12.3
2025-03-25,12.35,12.35,0(0.00 %),4179000,51763000000,0,0,12.5,12.5,12.3
2025-03-24,12.35,12.35,-0.1(-0.80 %),4745700,58522000000,0,0,12.4,12.5,12.25
2025-03-21,12.45,12.45,-0.1(-0.80 %),2700400,33715000000,0,0,12.5,12.6,12.4
2025-03-20,12.55,12.55,0(0.00 %),5122000,64010000000,0,0,12.6,12.65,12.35
2025-03-19,12.55,12.55,0.05(0.40 %),5510800,69009000000,0,0,12.55,12.7,12.45
2025-03-18,12.5,12.5,-0.05(-0.40 %),8376300,105664000000,0,0,12.65,12.75,12.5
2025-03-17,12.55,12.55,0.05(0.40 %),4409200,55317000000,0,0,12.65,12.65,12.5
2025-03-14,12.5,12.5,0(0.00 %),8415000,104937000000,0,0,12.5,12.6,12.35
2025-03-13,12.5,12.5,-0.45(-3.47 %),19285000,244755000000,0,0,12.95,13.0,12.45
2025-03-12,12.95,12.95,-0.2(-1.52 %),7468300,97369000000,0,0,13.2,13.25,12.95
2025-03-11,13.15,13.15,0.15(1.15 %),22826400,301530000000,0,0,12.9,13.45,12.8
2025-03-10,13.0,13.0,0.3(2.36 %),14937100,193226000000,0,0,12.7,13.1,12.7
2025-03-07,12.7,12.7,-0.1(-0.78 %),6632500,84749000000,0,0,12.8,12.9,12.7
2025-03-06,12.8,12.8,0.2(1.59 %),5742400,72649000000,0,0,12.65,12.8,12.55
2025-03-05,12.6,12.6,-0.3(-2.33 %),6780000,86382000000,0,0,12.9,12.95,12.6
2025-03-04,12.9,12.9,0.2(1.57 %),9864100,126302000000,0,0,12.7,12.9,12.65
2025-03-03,12.7,12.7,0.05(0.40 %),6917500,87932000000,0,0,12.7,12.8,12.6
2025-02-28,12.65,12.65,-0.2(-1.56 %),7557000,96050000000,0,0,12.85,12.85,12.6
2025-02-27,12.85,12.85,-0.05(-0.39 %),11188600,142685000000,0,0,12.95,12.95,12.6
2025-02-26,12.9,12.9,-0.15(-1.15 %),7381900,95754000000,3200000,38880000000,13.05,13.15,12.9
2025-02-25,13.05,13.05,0.15(1.16 %),9996000,129702000000,0,0,12.95,13.1,12.9
2025-02-24,12.9,12.9,-0.05(-0.39 %),5581900,71988000000,0,0,13.0,13.0,12.8
2025-02-21,12.95,12.95,0.1(0.78 %),11986200,155960000000,0,0,12.85,13.25,12.75
2025-02-20,12.85,12.85,-0.15(-1.15 %),7344600,94818000000,20000,276000000,13.1,13.1,12.8
2025-02-19,13.0,13.0,0.2(1.56 %),11307600,146678000000,0,0,12.85,13.1,12.85
2025-02-18,12.8,12.8,0(0.00 %),7475000,96178000000,0,0,12.95,13.0,12.8
2025-02-17,12.8,12.8,-0.1(-0.78 %),9051700,117421000000,0,0,12.9,13.15,12.8
2025-02-14,12.9,12.9,-0.1(-0.77 %),10737500,138749000000,0,0,13.05,13.1,12.8
2025-02-13,13.0,13.0,0(0.00 %),5735900,74206000000,0,0,13.0,13.0,12.85
2025-02-12,13.0,13.0,0.3(2.36 %),16844200,218762000000,0,0,12.7,13.2,12.7
2025-02-11,12.7,12.7,0.15(1.20 %),6665600,84871000000,0,0,12.6,12.9,12.55
2025-02-10,12.55,12.55,0(0.00 %),6736600,84889000000,0,0,12.6,12.75,12.45
2025-02-07,12.55,12.55,-0.15(-1.18 %),12310200,157084000000,0,0,12.7,13.0,12.55
2025-02-06,12.7,12.7,0(0.00 %),6404500,81130000000,0,0,12.7,12.8,12.55
2025-02-05,12.7,12.7,-0.05(-0.39 %),6598300,84052000000,0,0,12.85,12.85,12.65
2025-02-04,12.75,12.75,0.25(2.00 %),14495700,185164000000,0,0,12.55,12.95,12.55
2025-01-24,12.25,12.25,-0.15(-1.21 %),5676600,69798000000,0,0,12.4,12.45,12.25
2025-01-23,12.4,12.4,0.1(0.81 %),8456900,104504000000,0,0,12.3,12.5,12.25
2025-01-22,12.3,12.3,-0.1(-0.81 %),8132900,100093000000,0,0,12.35,12.45,12.2
