Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-06-06,16.2,16.2,-0.15(-0.92 %),10061900,166031005000,0,0,16.35,16.7,16.2
2025-06-05,16.35,16.35,0.2(1.24 %),3606300,58448820000,0,0,16.1,16.35,16.0
2025-06-04,16.15,16.15,-0.2(-1.22 %),5687300,93174100000,0,0,16.45,16.65,16.15
2025-06-03,16.35,16.35,0.35(2.19 %),7017000,113711610000,0,0,16.4,16.4,16.05
2025-06-02,16.0,16.0,-0.3(-1.84 %),8299100,131016790000,0,0,15.8,16.0,15.35
2025-05-30,16.3,16.3,0(0.00 %),14303500,237147825000,0,0,16.4,16.95,16.2
2025-05-29,16.3,16.3,-0.15(-0.91 %),4881200,80253440000,0,0,16.55,16.6,16.3
2025-05-28,16.45,16.45,0.05(0.30 %),5373700,88782160000,0,0,16.5,16.7,16.35
2025-05-27,16.4,16.4,0(0.00 %),8938500,146483845000,0,0,16.5,16.7,16.2
2025-05-26,16.4,16.4,0.15(0.92 %),5609300,90188710000,0,0,16.25,16.4,15.75
2025-05-23,16.25,16.25,0(0.00 %),3319100,53505720000,0,0,16.35,16.35,16.0
2025-05-22,16.25,16.25,-0.15(-0.91 %),7450800,122801660000,0,0,16.5,16.8,16.2
2025-05-21,16.4,16.4,0.1(0.61 %),6460500,105137810000,0,0,16.4,16.5,16.0
2025-05-20,16.3,16.3,0.05(0.31 %),6114200,100491090000,0,0,16.3,16.6,16.3
2025-05-19,16.25,16.25,-0.2(-1.22 %),9068500,148949865000,0,0,16.35,16.65,16.1
2025-05-16,16.45,16.45,0.5(3.13 %),16804500,274997405000,0,0,15.75,16.6,15.75
2025-05-15,15.95,15.95,0.45(2.90 %),13359700,210497880000,0,0,15.6,16.1,15.5
2025-05-14,15.5,15.5,0.5(3.33 %),17662200,271711610000,50000,800000000,14.75,15.65,14.75
2025-05-13,15.0,15.0,0(0.00 %),5222200,78340560000,0,0,15.2,15.2,14.85
2025-05-12,15.0,15.0,0.1(0.67 %),7435900,111805335000,0,0,14.9,15.35,14.8
2025-05-09,14.9,14.9,0.15(1.02 %),6774100,100520020000,0,0,14.8,15.05,14.6
2025-05-08,14.75,14.75,0.2(1.37 %),9755800,144213815000,0,0,14.65,14.95,14.55
2025-05-07,14.55,14.55,0.15(1.04 %),5031400,72508155000,0,0,14.3,14.65,14.25
2025-05-06,14.4,14.4,-0.25(-1.71 %),5923200,86063185000,0,0,14.7,14.8,14.35
2025-05-05,14.65,14.65,0.85(6.16 %),9682200,138719410000,0,0,14.1,14.7,13.8
2025-04-29,13.8,13.8,0.15(1.10 %),4509500,61963000000,0,0,13.7,13.9,13.55
2025-04-28,13.65,13.65,0.3(2.25 %),5730500,78160000000,500000,6575000000,13.5,13.9,13.4
2025-04-25,13.35,13.35,-0.15(-1.11 %),5217100,70379000000,0,0,13.9,13.9,13.35
2025-04-24,13.5,13.5,0.15(1.12 %),5648200,76730000000,500000,6675000000,13.6,13.9,13.35
2025-04-23,13.35,13.35,0.85(6.80 %),11022200,144391000000,0,0,12.8,13.35,12.65
2025-04-22,12.5,12.5,-0.8(-6.02 %),13083900,165555000000,0,0,13.3,13.3,12.4
2025-04-21,13.3,13.3,-0.4(-2.92 %),4722300,63378000000,0,0,13.7,13.8,13.3
2025-04-18,13.7,13.7,0.2(1.48 %),5263400,72209000000,0,0,13.6,13.9,13.55
2025-04-17,13.5,13.5,-0.05(-0.37 %),7480100,99222000000,0,0,13.5,13.55,13.05
2025-04-16,13.55,13.55,-0.45(-3.21 %),6282200,86416000000,0,0,14.0,14.05,13.55
2025-04-15,14.0,14.0,-0.4(-2.78 %),6501100,91087000000,0,0,14.2,14.4,13.7
2025-04-14,14.4,14.4,-0.1(-0.69 %),6024000,86893000000,0,0,14.5,14.7,14.15
2025-04-11,14.5,14.5,0.35(2.47 %),14997500,215856000000,824000,10876800000,15.0,15.0,14.0
2025-04-10,14.15,14.15,0.9(6.79 %),1681700,23796000000,125660,1551901000,14.15,14.15,14.15
2025-04-09,13.25,13.25,-0.95(-6.69 %),8678000,115145000000,0,0,13.25,13.6,13.25
2025-04-08,14.2,14.2,-1.05(-6.89 %),6102500,88457000000,0,0,15.15,15.15,14.2
2025-04-04,15.25,15.25,-0.95(-5.86 %),16137400,244090000000,0,0,15.1,15.4,15.1
2025-04-03,16.2,16.2,-1.2(-6.90 %),10995900,179081000000,0,0,16.2,16.75,16.2
2025-04-02,17.4,17.4,0.3(1.75 %),5760600,100655000000,0,0,17.55,17.6,17.35
2025-04-01,17.1,17.6,0.4(2.33 %),3612200,63370000000,0,0,17.4,17.75,17.25
2025-03-31,16.71,17.2,-0.2(-1.15 %),3959800,68371000000,300000,5400000000,17.25,17.4,17.2
2025-03-28,16.91,17.4,-0.35(-1.97 %),5759700,100874000000,1845550,34973075000,17.75,17.8,17.3
2025-03-27,17.25,17.75,-0.25(-1.39 %),2995900,53407000000,300000,5400000000,18.0,18.1,17.7
2025-03-26,17.49,18.0,0.1(0.56 %),4905600,88310000000,0,0,17.9,18.15,17.8
2025-03-25,17.39,17.9,0.15(0.85 %),3969000,70695000000,300000,5640000000,17.8,18.0,17.7
2025-03-24,17.25,17.75,0.05(0.28 %),3927600,69382000000,0,0,17.9,17.9,17.5
2025-03-21,17.2,17.7,-0.15(-0.84 %),3203500,56754000000,300000,5640000000,17.85,17.95,17.65
2025-03-20,17.34,17.85,0.15(0.85 %),5447800,96626000000,0,0,17.7,17.95,17.6
2025-03-19,17.2,17.7,-0.6(-3.28 %),10948800,196341000000,300000,5640000000,18.15,18.3,17.7
2025-03-18,17.78,18.3,-0.55(-2.92 %),11525900,214602000000,400000,7800000000,19.05,19.2,18.3
2025-03-17,18.31,18.85,0.15(0.80 %),5415000,101854000000,300000,5640000000,18.8,19.05,18.65
2025-03-14,18.17,18.7,-0.15(-0.80 %),4785300,89570000000,0,0,18.85,18.9,18.6
2025-03-13,18.31,18.85,-0.05(-0.26 %),10326600,196363000000,0,0,19.0,19.35,18.65
2025-03-12,18.36,18.9,-0.15(-0.79 %),6125300,116195000000,0,0,19.1,19.2,18.75
2025-03-11,18.51,19.05,0.35(1.87 %),10075800,189008000000,0,0,18.35,19.05,18.35
2025-03-10,18.17,18.7,-0.1(-0.53 %),5036900,94546000000,0,0,18.85,18.9,18.6
2025-03-07,18.27,18.8,-0.15(-0.79 %),5992700,112943000000,0,0,18.95,19.0,18.7
2025-03-06,18.41,18.95,0.65(3.55 %),7748900,144704000000,0,0,18.5,18.95,18.3
2025-03-05,17.78,18.3,-0.4(-2.14 %),6322700,117484000000,0,0,18.65,18.85,18.3
2025-03-04,18.17,18.7,-0.2(-1.06 %),8237900,154386000000,0,0,18.75,18.95,18.55
2025-03-03,18.36,18.9,-0.15(-0.79 %),8293600,156166000000,0,0,19.1,19.1,18.65
2025-02-28,18.51,19.05,-0.1(-0.52 %),8658000,164931000000,0,0,19.2,19.3,18.85
2025-02-27,18.61,19.15,1.25(6.98 %),33688400,627998000000,0,0,17.9,19.15,17.8
2025-02-26,17.39,17.9,0.15(0.85 %),8748800,157403000000,0,0,18.0,18.15,17.9
2025-02-25,17.25,17.75,-0.15(-0.84 %),4541000,80523000000,0,0,18.0,18.0,17.65
2025-02-24,17.39,17.9,0.35(1.99 %),11065900,199516000000,0,0,18.2,18.25,17.8
2025-02-21,17.05,17.55,0(0.00 %),3358000,58655000000,0,0,17.5,17.6,17.35
2025-02-20,17.05,17.55,0.25(1.45 %),8637000,151886000000,0,0,17.35,17.8,17.35
2025-02-19,16.81,17.3,0.05(0.29 %),3273000,56403000000,0,0,17.25,17.3,17.1
2025-02-18,16.76,17.25,0.25(1.47 %),5090900,87890000000,0,0,17.0,17.35,17.0
2025-02-17,16.52,17.0,0(0.00 %),2338400,39720000000,1100000,17435000000,17.0,17.05,16.9
2025-02-14,16.52,17.0,0.35(2.10 %),5277900,89486000000,0,0,16.7,17.15,16.7
2025-02-13,16.18,16.65,-0.05(-0.30 %),2052800,34331000000,0,0,16.9,16.9,16.65
2025-02-12,16.23,16.7,-0.05(-0.30 %),2566700,43043000000,0,0,16.95,16.95,16.6
2025-02-11,16.27,16.75,-0.15(-0.89 %),8571400,143422000000,0,0,16.7,17.0,16.6
2025-02-10,16.42,16.9,-0.8(-4.52 %),13198800,226027000000,0,0,17.55,17.6,16.9
2025-02-07,17.2,17.7,-0.05(-0.28 %),2804100,49871000000,0,0,17.8,17.9,17.7
2025-02-06,17.25,17.75,-0.15(-0.84 %),3266400,58276000000,0,0,17.95,18.0,17.7
2025-02-05,17.39,17.9,0(0.00 %),4158300,74512000000,0,0,17.9,18.05,17.85
2025-02-04,17.39,17.9,0.3(1.70 %),5280500,94060000000,34000,593640000,17.75,18.0,17.65
2025-01-24,16.95,17.45,0.05(0.29 %),2506200,43521000000,0,0,17.4,17.45,17.2
2025-01-23,16.91,17.4,0.3(1.75 %),1830900,31617000000,0,0,17.05,17.4,17.05
2025-01-22,16.61,17.1,-0.25(-1.44 %),2640900,45398000000,0,0,17.35,17.4,17.1
2025-01-21,16.86,17.35,-0.2(-1.14 %),2023100,35065000000,32204,558739400,17.4,17.55,17.2
2025-01-20,17.05,17.55,0.05(0.29 %),2145800,37629000000,0,0,17.5,17.65,17.45
2025-01-17,17.0,17.5,0.2(1.16 %),2723900,47267000000,0,0,17.3,17.5,17.25
2025-01-16,16.81,17.3,-0.25(-1.42 %),2819100,49216000000,0,0,17.6,17.75,17.3
2025-01-15,17.05,17.55,0.45(2.63 %),4948700,86265000000,0,0,17.1,17.8,17.1
2025-01-14,16.61,17.1,-0.3(-1.72 %),1458600,25142000000,0,0,17.3,17.45,17.1
2025-01-13,16.91,17.4,0.25(1.46 %),2599200,44745000000,0,0,17.15,17.4,17.05
2025-01-10,16.66,17.15,-0.55(-3.11 %),3239300,56572000000,0,0,17.85,17.85,17.15
2025-01-09,17.2,17.7,-0.35(-1.94 %),1928400,34239000000,0,0,18.05,18.05,17.65
2025-01-08,17.54,18.05,0.25(1.40 %),2061200,36773000000,0,0,17.7,18.05,17.65
2025-01-07,17.29,17.8,0(0.00 %),3808500,67573000000,0,0,17.8,17.9,17.5
2025-01-06,17.29,17.8,-0.4(-2.20 %),4663400,83814000000,0,0,18.2,18.35,17.65
2025-01-03,17.68,18.2,-0.45(-2.41 %),4211400,77273000000,0,0,18.6,18.6,18.2
2025-01-02,18.12,18.65,0.2(1.08 %),1628200,30199000000,0,0,18.45,18.65,18.45
2024-12-31,17.93,18.45,-0.25(-1.34 %),3222100,59636000000,0,0,18.7,18.7,18.45
2024-12-30,18.17,18.7,-0.1(-0.53 %),2081200,38864000000,0,0,18.8,18.8,18.55
2024-12-27,18.27,18.8,-0.15(-0.79 %),3931500,73958000000,0,0,18.9,18.95,18.7
2024-12-26,18.41,18.95,0(0.00 %),2363400,44566000000,0,0,18.95,18.95,18.75
2024-12-25,18.41,18.95,0.3(1.61 %),5786300,109011000000,0,0,18.55,19.0,18.55
2024-12-24,18.12,18.65,0(0.00 %),4350300,80230000000,0,0,18.65,18.65,18.3
2024-12-23,18.12,18.65,-0.1(-0.53 %),3524800,65878000000,1113200,22319660000,18.7,18.9,18.55
2024-12-20,18.22,18.75,-0.2(-1.06 %),2418600,45484000000,200000,3760000000,18.95,18.95,18.75
2024-12-19,18.41,18.95,0(0.00 %),5310200,99788000000,0,0,18.65,18.95,18.6
2024-12-18,18.41,18.95,0.55(2.99 %),5539700,103570000000,0,0,18.4,18.95,18.4
2024-12-17,17.88,18.4,-0.1(-0.54 %),3859500,70854000000,0,0,18.45,18.55,18.2
2024-12-16,17.97,18.5,0.1(0.54 %),3319400,61010000000,0,0,18.3,18.55,18.3
2024-12-13,17.88,18.4,-0.35(-1.87 %),4199000,77988000000,0,0,18.75,18.75,18.4
2024-12-12,18.22,18.75,-0.1(-0.53 %),3538900,66619000000,0,0,18.8,18.95,18.75
2024-12-11,18.31,18.85,-0.15(-0.79 %),3810100,72173000000,0,0,19.0,19.15,18.8
2024-12-10,18.46,19.0,0.1(0.53 %),7310500,139624000000,0,0,18.95,19.25,18.95
2024-12-09,18.36,18.9,0.25(1.34 %),8212700,155568000000,0,0,18.7,19.1,18.6
2024-12-06,18.12,18.65,-0.15(-0.80 %),3983500,74648000000,0,0,18.8,18.95,18.6
2024-12-05,18.27,18.8,0.55(3.01 %),13894400,253043000000,0,0,18.25,19.0,17.55
2024-12-04,17.73,18.25,-0.4(-2.14 %),7666000,141401000000,0,0,18.7,18.7,18.2
2024-12-03,18.12,18.65,-0.35(-1.84 %),5077900,95740000000,0,0,19.05,19.05,18.65
2024-12-02,18.46,19.0,0(0.00 %),2967700,56423000000,0,0,19.05,19.15,18.9
2024-11-29,18.46,19.0,0(0.00 %),4214500,79870000000,0,0,19.0,19.05,18.85
2024-11-28,18.46,19.0,0.1(0.53 %),4203100,79813000000,0,0,19.0,19.1,18.9
2024-11-27,18.36,18.9,-0.1(-0.53 %),3321100,62681000000,0,0,19.05,19.05,18.75
2024-11-26,18.46,19.0,0.25(1.33 %),4073600,77212000000,0,0,18.75,19.05,18.75
2024-11-25,18.22,18.75,-0.05(-0.27 %),3556500,66771000000,0,0,18.9,18.9,18.7
2024-11-22,18.27,18.8,0(0.00 %),4651400,88055000000,0,0,18.75,19.05,18.7
2024-11-21,18.27,18.8,0.15(0.80 %),3127900,58450000000,0,0,18.8,18.8,18.5
2024-11-20,18.12,18.65,0.3(1.63 %),5426700,101003000000,0,0,18.2,18.9,18.15
2024-11-19,17.83,18.35,-0.2(-1.08 %),3865700,71701000000,0,0,18.6,18.8,18.35
2024-11-18,18.02,18.55,0.15(0.82 %),5872100,108093000000,0,0,18.4,18.7,18.2
2024-11-15,17.88,18.4,-0.7(-3.66 %),11664600,217859000000,20000,356800000,19.1,19.1,18.3
