Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-22,16.05,0.0,-16.55(-100.00 %),1982500,16050,0,0,16.5,16.5,16.05
2025-05-21,16.55,16.55,0.55(3.44 %),2968700,48379815000,0,0,16.1,16.55,16.0
2025-05-20,16.0,16.0,0(0.00 %),837500,13425385000,0,0,16.0,16.15,15.95
2025-05-19,16.0,16.0,-0.05(-0.31 %),973900,15635870000,0,0,16.05,16.2,15.95
2025-05-16,16.05,16.05,-0.35(-2.13 %),1408500,22903390000,0,0,16.5,16.55,16.05
2025-05-15,16.4,16.4,0.3(1.86 %),2016800,32794950000,0,0,16.2,16.45,15.95
2025-05-14,16.1,16.1,0(0.00 %),1519700,24475690000,0,0,16.2,16.35,15.9
2025-05-13,16.1,16.1,0.3(1.90 %),1864900,30060160000,0,0,16.2,16.25,16.0
2025-05-12,15.8,15.8,-0.05(-0.32 %),977800,15401340000,0,0,16.0,16.0,15.6
2025-05-09,15.85,15.85,-0.05(-0.31 %),1299200,20819980000,0,0,16.05,16.3,15.8
2025-05-08,15.9,15.9,0.05(0.32 %),1616000,25658005000,0,0,16.0,16.05,15.75
2025-05-07,15.85,15.85,0.25(1.60 %),1675400,26292375000,0,0,15.5,15.85,15.5
2025-05-06,15.6,15.6,-0.4(-2.50 %),1513900,24069705000,0,0,16.2,16.2,15.6
2025-05-05,16.0,16.0,0.45(2.89 %),1445500,22909325000,0,0,15.7,16.15,15.55
2025-04-29,15.55,15.55,-0.15(-0.96 %),656100,10187000000,0,0,15.6,15.7,15.4
2025-04-28,15.7,15.7,0.55(3.63 %),2173500,33528000000,0,0,15.1,15.7,15.0
2025-04-25,15.15,15.15,0.15(1.00 %),1476400,22648000000,0,0,15.1,15.65,15.1
2025-04-24,15.0,15.0,0.1(0.67 %),1011400,15224000000,0,0,15.0,15.3,14.9
2025-04-23,14.9,14.9,0.55(3.83 %),1291900,18815000000,0,0,14.7,14.9,14.2
2025-04-22,14.35,14.35,-0.85(-5.59 %),2946900,42336000000,0,0,15.0,15.15,14.15
2025-04-21,15.2,15.2,-0.4(-2.56 %),924600,14206000000,0,0,15.65,15.7,15.15
2025-04-18,15.6,15.6,0.1(0.65 %),1317000,20622000000,0,0,15.6,15.85,15.5
2025-04-17,15.5,15.5,0.1(0.65 %),671800,10327000000,0,0,15.1,15.55,15.1
2025-04-16,15.4,15.4,-0.1(-0.65 %),1005900,15540000000,0,0,15.4,15.8,15.1
2025-04-15,15.5,15.5,-0.35(-2.21 %),1695600,26313000000,0,0,15.8,15.8,15.0
2025-04-14,15.85,15.85,0.2(1.28 %),1623300,25538000000,0,0,15.85,15.95,15.55
2025-04-11,15.65,15.65,0.75(5.03 %),4040800,61142000000,0,0,15.0,15.85,14.5
2025-04-10,14.9,14.9,0.95(6.81 %),208800,3111000000,0,0,14.9,14.9,14.9
2025-04-09,13.95,13.95,-1.05(-7.00 %),3171600,44437000000,0,0,13.95,14.8,13.95
2025-04-08,15.0,15.0,-1.1(-6.83 %),1261200,18969000000,0,0,15.1,15.6,15.0
2025-04-04,16.1,16.1,-1.2(-6.94 %),4158400,67174000000,0,0,16.1,16.5,16.1
2025-04-03,17.3,17.3,-1.3(-6.99 %),2391000,41815000000,0,0,17.65,18.0,17.3
2025-04-02,18.6,18.6,-0.05(-0.27 %),1095900,20520000000,0,0,18.85,18.95,18.4
2025-04-01,18.65,18.65,0.1(0.54 %),541200,10093000000,0,0,18.7,18.75,18.55
2025-03-31,18.55,18.55,0.15(0.82 %),1613200,29798000000,0,0,18.35,18.75,18.2
2025-03-28,18.4,18.4,-0.6(-3.16 %),2164200,40457000000,0,0,19.0,19.0,18.4
2025-03-27,19.0,19.0,-0.15(-0.78 %),876600,16732000000,0,0,19.15,19.25,19.0
2025-03-26,19.15,19.15,-0.1(-0.52 %),850000,16399000000,0,0,19.35,19.5,19.1
2025-03-25,19.25,19.25,0.05(0.26 %),857800,16566000000,0,0,19.4,19.45,19.2
2025-03-24,19.2,19.2,-0.05(-0.26 %),783400,15028000000,0,0,19.25,19.3,19.1
