Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-09,23.5,0.0,-23.55(-100.00 %),200,23500,0,0,23700.0,23.6,0.0
2025-05-08,23.55,23.55,0.3(1.29 %),21016400,491610975000,0,0,23.3,23.6,23.2
2025-05-07,23.25,23.25,-0.3(-1.27 %),21893400,511506890000,28202,619033900,23.55,23.6,23.2
2025-05-06,23.55,23.55,0(0.00 %),22793600,537897065000,0,0,23.6,23.7,23.5
2025-05-05,23.55,23.55,0(0.00 %),18857200,444392300000,0,0,23.7,23.75,23.45
2025-04-29,23.55,23.55,-0.15(-0.63 %),13178800,311419000000,149000,3493400000,23.7,23.75,23.55
2025-04-28,23.7,23.7,0.15(0.64 %),23070500,546196000000,1,21950,23.8,23.85,23.55
2025-04-25,23.55,23.55,0.3(1.29 %),40711200,956836000000,115000,2691000000,23.5,23.75,23.3
2025-04-24,23.25,23.25,-0.15(-0.64 %),18099100,421015000000,1,21800,23.4,23.4,23.05
2025-04-23,23.4,23.4,0.3(1.30 %),33860600,792239000000,0,0,23.45,23.7,23.1
2025-04-22,23.1,23.1,0.15(0.65 %),45375000,1024199000000,30002,646542700,22.85,23.15,21.55
2025-04-21,22.95,22.95,-0.3(-1.29 %),37143800,857331000000,0,0,23.5,23.5,22.8
2025-04-18,23.25,23.25,0.25(1.09 %),31562900,733585000000,0,0,23.1,23.45,23.05
2025-04-17,23.0,23.0,0.1(0.44 %),21573500,491555000000,20001,484021300,22.7,23.0,22.6
2025-04-16,22.9,22.9,-0.1(-0.43 %),21897000,503309000000,30000,726000000,23.0,23.25,22.75
2025-04-15,23.0,23.0,-0.45(-1.92 %),29512300,681290000000,0,0,23.0,23.4,22.9
2025-04-14,23.45,23.45,0(0.00 %),31682100,739565000000,60001,1327221850,23.5,23.55,23.15
2025-04-11,23.45,23.45,1.4(6.35 %),78951400,1808451000000,29000,595950000,22.5,23.5,22.4
2025-04-10,22.05,22.05,1.4(6.78 %),1687200,37202000000,2130965,42846676250,22.05,22.05,22.05
2025-04-09,20.65,20.65,-0.25(-1.20 %),61224500,1244294000000,88,1813600,19.45,21.4,19.45
2025-04-08,20.9,20.9,-1.55(-6.90 %),64519700,1352015000000,1744711,36464459900,21.15,21.9,20.9
2025-04-04,22.45,22.45,-0.2(-0.88 %),73116900,1577788000000,2280887,52237715700,21.1,22.45,21.1
2025-04-03,22.65,22.65,-1.7(-6.98 %),86268100,1986718000000,1585002,36166295300,23.6,23.7,22.65
2025-04-02,24.35,24.35,-0.25(-1.02 %),9787900,239882000000,771003,19182718700,24.6,24.65,24.35
