Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-22,64.0,0.0,-63.6(-100.00 %),7955100,64000,0,0,63.6,64.6,63.2
2025-05-21,63.6,63.6,0.9(1.44 %),8645400,550195900000,3112000,195122400000,63.1,64.3,63.1
2025-05-20,62.7,62.7,0.7(1.13 %),5378500,336359180000,0,0,62.0,63.1,61.5
2025-05-19,62.0,62.0,-0.5(-0.80 %),6012400,371101180000,3849100,240568750000,62.4,62.4,61.4
2025-05-16,62.5,62.5,-0.3(-0.48 %),5901500,367404280000,22900,1440410000,62.6,63.0,61.7
2025-05-15,62.8,62.8,0.5(0.80 %),5773200,362637700000,0,0,62.6,63.5,62.4
2025-05-14,62.3,62.3,0.2(0.32 %),5676400,356976060000,18267920,1081400180000,62.3,63.7,62.2
2025-05-13,62.1,62.1,0.1(0.16 %),4735700,295782620000,0,0,62.4,63.2,62.1
2025-05-12,62.0,62.0,-0.8(-1.27 %),3820500,238736500000,0,0,62.8,63.3,62.0
2025-05-09,62.8,62.8,-0.2(-0.32 %),3321700,208277270000,254000,15989200000,63.0,63.0,62.2
2025-05-08,63.0,63.0,2.1(3.45 %),4439500,275160780000,0,0,61.0,63.0,60.7
2025-05-07,60.9,60.9,-1.1(-1.77 %),3353100,205361470000,0,0,61.6,61.8,60.9
2025-05-06,62.0,62.0,-0.5(-0.80 %),3955400,245601460000,1287000,80062800000,62.4,62.4,61.8
2025-05-05,62.5,62.5,0(0.00 %),2950500,183422440000,0,0,62.7,62.8,61.6
2025-04-29,62.5,62.5,0(0.00 %),3854100,239686000000,3937000,245163700000,61.8,62.5,61.8
2025-04-28,62.5,62.5,0.5(0.81 %),4247600,262561000000,0,0,62.4,62.5,61.0
2025-04-25,62.0,62.0,2.1(3.51 %),10545400,643154000000,90000,5292000000,60.0,62.0,59.9
2025-04-24,59.9,59.9,0.3(0.50 %),4948200,293057000000,1150000,67505000000,60.0,60.0,58.3
2025-04-23,59.6,59.6,0.9(1.53 %),5295500,314525000000,1253000,72443505000,59.7,59.9,58.9
2025-04-22,58.7,58.7,0.6(1.03 %),9268700,524002000000,6824700,397205070000,57.5,59.1,54.1
2025-04-21,58.1,58.1,0.1(0.17 %),3787400,218197000000,0,0,58.0,58.5,56.9
2025-04-18,58.0,58.0,0.7(1.22 %),3630300,211984000000,0,0,57.9,59.0,57.9
2025-04-17,57.3,57.3,0.9(1.60 %),4980400,282699000000,660000,39223200000,55.0,57.6,55.0
2025-04-16,56.4,56.4,-2.1(-3.59 %),6391100,366611000000,581000,34860000000,58.3,58.8,56.4
2025-04-15,58.5,58.5,-1.5(-2.50 %),6076700,359692000000,0,0,59.0,60.9,58.1
2025-04-14,60.0,60.0,2.9(5.08 %),7927500,465605000000,581000,34860000000,57.7,60.3,56.9
2025-04-11,57.1,57.1,3.3(6.13 %),14118700,785009000000,0,0,55.4,57.5,53.1
