Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-22,64.3,0.0,-64.3(-100.00 %),8712800,64300,0,0,63.9,64.8,63.6
2025-05-21,64.3,64.3,-0.4(-0.62 %),6780600,435106900000,1067000,68114984000,64.9,64.9,63.6
2025-05-20,64.7,64.7,1(1.57 %),11898400,765703400000,458000,29306600000,63.5,65.2,63.3
2025-05-19,63.7,63.7,-0.1(-0.16 %),6532900,416200930000,802000,51171936000,63.5,64.4,63.1
2025-05-16,63.8,63.8,-0.5(-0.78 %),5354600,342444160000,661000,42225782000,63.8,64.5,63.5
2025-05-15,64.3,64.3,0.3(0.47 %),9777600,623306020000,541000,34012800000,64.0,64.6,63.0
2025-05-14,64.0,64.0,0.5(0.79 %),9926500,635436980000,1963000,127524445000,63.8,64.3,63.6
2025-05-13,63.5,63.5,2.7(4.44 %),17084400,1070430350000,637000,38345148000,61.2,63.7,61.0
2025-05-12,60.8,60.8,0.4(0.66 %),6434100,389139790000,507000,30622800000,60.7,60.9,60.1
2025-05-09,60.4,60.4,0.1(0.17 %),4780000,288966710000,1024000,61685586000,60.3,61.0,60.1
2025-05-08,60.3,60.3,0.2(0.33 %),9463100,564322820000,0,0,60.1,60.2,58.9
2025-05-07,60.1,60.1,-0.4(-0.66 %),7742800,463189560000,464000,28130800000,59.9,60.5,59.1
2025-05-06,60.5,60.5,-0.5(-0.82 %),4110300,248970340000,40000,2440000000,61.0,61.2,60.1
2025-05-05,61.0,61.0,0.2(0.33 %),5099700,308944580000,200000,12160000000,60.8,61.4,60.0
2025-04-29,60.8,60.8,-0.1(-0.16 %),5701400,346578000000,3901800,236259760000,60.8,61.1,60.5
2025-04-28,60.9,60.9,0.4(0.66 %),7707900,467760000000,765000,44954600000,60.9,62.0,59.6
2025-04-25,60.5,60.5,0.8(1.34 %),10315100,619947000000,0,0,59.5,60.5,59.4
2025-04-24,59.7,59.7,0.9(1.53 %),7681300,455406000000,745000,43806000000,58.8,59.9,58.4
2025-04-23,58.8,58.8,1.5(2.62 %),8393400,493254000000,265000,15579350000,58.5,59.3,58.2
2025-04-22,57.3,57.3,1.7(3.06 %),16304400,910776000000,0,0,55.4,57.3,52.0
2025-04-21,55.6,55.6,-0.6(-1.07 %),4632900,257952000000,100000,5557000000,56.3,56.6,55.3
2025-04-18,56.2,56.2,-0.6(-1.06 %),6353500,361994000000,200000,11380000000,56.9,57.6,56.2
2025-04-17,56.8,56.8,0(0.00 %),5398300,304161000000,392900,22222566000,55.9,56.8,55.6
2025-04-16,56.8,56.8,-0.3(-0.53 %),9252400,525570000000,0,0,56.6,57.7,55.6
2025-04-15,57.1,57.1,0.5(0.88 %),12059800,681461000000,893000,48359800000,56.0,57.6,55.1
2025-04-14,56.6,56.6,3.7(6.99 %),15361600,855679000000,20000,989000000,55.0,56.6,54.3
2025-04-11,52.9,52.9,3.45(6.98 %),12779000,664278000000,1191800,62648964000,51.0,52.9,50.6
2025-04-10,49.45,49.45,3.2(6.92 %),411300,20338000000,155000,7440750000,49.45,49.45,49.45
2025-04-09,46.25,46.25,-2.9(-5.90 %),20206600,950017000000,1607000,81434830000,45.75,49.2,45.75
2025-04-08,49.15,49.15,-3.65(-6.91 %),11930200,586699000000,76200,3745230000,49.2,50.0,49.15
2025-04-04,52.8,52.8,-1.9(-3.47 %),28985900,1489233000000,645000,34553320000,50.9,53.5,50.9
2025-04-03,54.7,54.7,-4.1(-6.97 %),14956500,821420000000,683000,37510360000,55.1,56.3,54.7
2025-04-02,58.8,58.8,0.2(0.34 %),7441200,437097000000,1492700,87875678000,58.6,59.7,58.0
2025-04-01,58.6,58.6,-0.4(-0.68 %),5640900,329013000000,688000,40515200000,58.6,58.9,57.7
2025-03-31,59.0,59.0,-0.8(-1.34 %),6534800,382929000000,2379800,141409876000,59.0,59.2,58.1
2025-03-28,59.8,59.8,-0.6(-0.99 %),7228900,430896000000,1578400,94017760000,60.1,60.7,58.9
2025-03-27,60.4,60.4,-0.4(-0.66 %),3190000,192365000000,2300800,138564510000,60.8,60.8,60.0
2025-03-26,60.8,60.8,0.3(0.50 %),2416100,146669000000,771000,46617330000,60.6,61.2,60.5
2025-03-25,60.5,60.5,0.2(0.33 %),5513700,334119000000,1224000,73914100000,60.4,61.3,59.9
2025-03-24,60.3,60.3,0(0.00 %),2855200,171022000000,910000,54491650000,59.8,60.3,59.5
2025-03-21,60.3,60.3,0.3(0.50 %),3129500,187367000000,1252000,75331000000,60.0,60.3,59.4
2025-03-20,60.0,60.0,0.5(0.84 %),4063500,241602000000,1570000,95302780000,59.8,60.0,59.0
2025-03-19,59.5,59.5,-2.3(-3.72 %),13416400,805676000000,1033000,62820880000,61.2,61.4,59.0
2025-03-18,61.8,61.8,-0.2(-0.32 %),5349100,331217000000,1585000,98017600000,62.2,62.5,61.4
2025-03-17,62.0,62.0,0.5(0.81 %),3541900,218267000000,475000,29369700000,61.7,62.0,61.4
2025-03-14,61.5,61.5,0(0.00 %),8759800,541208000000,1823000,110531700000,61.5,62.3,61.2
2025-03-13,61.5,61.5,-1.2(-1.91 %),7327800,453800000000,787000,48780900000,62.7,62.8,61.2
2025-03-12,62.7,62.7,-0.3(-0.48 %),8817600,549495000000,1457000,90613320000,63.0,63.0,61.9
2025-03-11,63.0,63.0,0.8(1.29 %),9576900,599501000000,369000,22856100000,61.4,63.2,61.4
2025-03-10,62.2,62.2,0.3(0.48 %),8125200,502952000000,2491000,151844800000,62.0,62.3,61.4
2025-03-07,61.9,61.9,0(0.00 %),5404100,332910000000,474000,28726050000,61.8,62.0,61.3
2025-03-06,61.9,61.9,2.3(3.86 %),13451900,821191000000,1688000,100148920000,59.8,61.9,59.6
2025-03-05,59.6,59.6,0.1(0.17 %),7188800,429952000000,1819000,109703968000,59.8,60.2,59.3
2025-03-04,59.5,59.5,0.7(1.19 %),6414100,380086000000,2113500,121484660000,58.7,59.9,58.4
2025-03-03,58.8,58.8,0.5(0.86 %),5938000,348352000000,2070000,113995400000,58.2,59.1,57.8
2025-02-28,58.3,58.3,-0.3(-0.51 %),5283200,307299000000,604000,35301250000,58.0,58.7,57.8
2025-02-27,58.6,58.6,-0.1(-0.17 %),3222900,188448000000,517600,30321032000,58.7,58.8,58.2
2025-02-26,58.7,58.7,0.4(0.69 %),4977600,291899000000,5076000,294559350000,58.3,59.1,57.8
2025-02-25,58.3,58.3,-0.1(-0.17 %),7929200,459338000000,4902500,282189800000,58.1,58.4,57.4
2025-02-24,58.4,58.4,0.3(0.52 %),6243200,362181000000,8975500,512357506000,58.1,58.5,57.3
2025-02-21,58.1,58.1,1.4(2.47 %),10123600,583452000000,1795000,102876660000,56.8,58.3,56.6
2025-02-20,56.7,56.7,0.9(1.61 %),6194500,348303000000,2901000,161756590000,55.9,56.7,55.7
2025-02-19,55.8,55.8,1.3(2.39 %),7547500,419172000000,661000,36031160000,54.7,56.1,54.4
2025-02-18,54.5,54.5,0.4(0.74 %),4497600,244634000000,567000,30782560000,54.0,55.0,53.8
2025-02-17,54.1,54.1,-1.1(-1.99 %),5933200,322586000000,1783900,95716940000,55.2,55.2,54.1
2025-02-14,55.2,55.2,0.4(0.73 %),11169000,609053000000,1059000,57145800000,55.1,55.3,53.8
2025-02-13,54.8,54.8,-1.6(-2.84 %),11353700,625408000000,853000,48439900000,56.0,56.0,54.8
2025-02-12,56.4,56.4,0(0.00 %),4848400,275219000000,586000,33634800000,56.8,57.3,56.4
2025-02-11,56.4,56.4,-1(-1.74 %),5986000,339554000000,1592000,93015680000,57.4,57.4,56.4
2025-02-10,57.4,57.4,-1.5(-2.55 %),5927400,341948000000,786000,46539240000,58.3,58.3,57.4
2025-02-07,58.9,58.9,-0.2(-0.34 %),6955900,405860000000,1766000,104263120000,58.9,59.0,57.8
2025-02-06,59.1,59.1,-0.3(-0.51 %),4148800,244674000000,905000,53853120000,59.5,59.6,58.7
2025-02-05,59.4,59.4,-0.2(-0.34 %),2780100,164852000000,1824000,108332170000,59.6,59.8,59.1
2025-02-04,59.6,59.6,0(0.00 %),3638100,215807000000,2818800,167834480000,59.9,59.9,59.0
2025-01-24,60.1,60.1,0.9(1.52 %),6757300,401541000000,158000,9116600000,59.2,60.1,58.6
2025-01-23,59.2,59.2,1.8(3.14 %),5657500,330312000000,942000,54130000000,57.3,59.5,57.3
2025-01-22,57.4,57.4,-0.3(-0.52 %),3103000,178791000000,330000,18980800000,57.9,58.0,57.4
2025-01-21,57.7,57.7,0.2(0.35 %),3419600,197177000000,599000,34432150000,57.7,58.2,57.2
2025-01-20,57.5,57.5,-0.2(-0.35 %),2216200,127432000000,369200,21158960000,57.7,57.9,57.3
2025-01-17,57.7,57.7,-0.1(-0.17 %),2697800,155265000000,1377000,79242940000,57.3,57.8,57.2
2025-01-16,57.8,57.8,0.5(0.87 %),3794300,217720000000,3201900,183297872000,57.2,58.0,57.0
2025-01-15,57.3,57.3,0.1(0.17 %),3242300,185457000000,416000,23784850000,57.4,57.9,56.8
2025-01-14,57.2,57.2,-0.1(-0.17 %),2917600,166243000000,943000,54043400000,57.3,57.5,56.6
2025-01-13,57.3,57.3,-0.2(-0.35 %),3791900,217578000000,3270000,192915750000,56.6,57.7,56.5
2025-01-10,57.5,57.5,-0.2(-0.35 %),3594100,206939000000,2640000,156493000000,57.5,58.0,56.9
2025-01-09,57.7,57.7,-0.4(-0.69 %),1738300,100285000000,1167000,66926900000,58.0,58.0,57.5
2025-01-08,58.1,58.1,1(1.75 %),3068200,175284000000,187400,10704288000,57.1,58.1,56.5
2025-01-07,57.1,57.1,0.1(0.18 %),5532900,315807000000,1044000,60940000000,57.3,57.8,56.4
2025-01-06,57.0,57.0,-1.6(-2.73 %),5409900,314071000000,797000,48050110000,58.4,59.3,57.0
2025-01-03,58.6,58.6,-2(-3.30 %),6604400,392767000000,1058000,64134540000,60.6,60.7,58.6
