Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-06-06,13.4,13.4,0(0.00 %),12950800,175193120000,0,0,13.45,13.7,13.35
2025-06-05,13.4,13.4,0.05(0.37 %),8222300,110017460000,0,0,13.35,13.6,13.2
2025-06-04,13.35,13.35,0(0.00 %),13439600,181301630000,0,0,13.45,13.8,13.25
2025-06-03,13.35,13.35,0.2(1.52 %),12500300,165545660000,0,0,13.35,13.5,13.05
2025-06-02,13.15,13.15,-0.2(-1.50 %),11868600,153248615000,0,0,12.8,13.2,12.7
2025-05-30,13.35,13.35,0.2(1.52 %),16629400,224433080000,670000,8770300000,13.25,13.8,13.2
2025-05-29,13.15,13.15,0.1(0.77 %),7832600,103011855000,0,0,13.15,13.25,13.0
2025-05-28,13.05,13.05,-0.05(-0.38 %),7493700,98360440000,670000,8777000000,13.2,13.35,12.95
2025-05-27,13.1,13.1,0.25(1.95 %),11661500,152680655000,0,0,12.9,13.3,12.9
2025-05-26,12.85,12.85,0.25(1.98 %),7885200,99045145000,0,0,12.7,12.9,12.2
2025-05-23,12.6,12.6,-0.1(-0.79 %),3614800,45869755000,0,0,12.75,12.9,12.6
2025-05-22,12.7,12.7,0.1(0.79 %),9932700,127255330000,0,0,12.5,13.1,12.5
2025-05-21,12.6,12.6,-0.05(-0.40 %),6265000,78698280000,0,0,12.7,12.8,12.45
2025-05-20,12.65,12.65,0.05(0.40 %),5294800,67044290000,0,0,12.6,12.8,12.55
2025-05-19,12.6,12.6,-0.25(-1.95 %),6512600,82820720000,0,0,12.7,12.85,12.6
2025-05-16,12.85,12.85,0(0.00 %),12166400,157200825000,0,0,12.9,13.1,12.7
2025-05-15,12.85,12.85,0.05(0.39 %),7360300,93951035000,0,0,12.9,13.0,12.55
2025-05-14,12.8,12.8,0.25(1.99 %),12236700,155521500000,0,0,12.6,12.9,12.5
2025-05-13,12.55,12.55,0.2(1.62 %),8817100,110716905000,0,0,12.5,12.7,12.45
2025-05-12,12.35,12.35,0(0.00 %),6257500,76865295000,0,0,12.35,12.55,12.05
2025-05-09,12.35,12.35,-0.1(-0.80 %),4657200,57822890000,0,0,12.6,12.6,12.35
