Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-22,34.8,0.0,-35.3(-100.00 %),813800,34800,0,0,35.3,35.3,34.65
2025-05-21,35.3,35.3,0.5(1.44 %),907400,31874475000,0,0,34.95,35.6,34.85
2025-05-20,34.8,34.8,-0.3(-0.85 %),847600,29561210000,0,0,35.1,35.15,34.75
2025-05-19,35.1,35.1,-0.65(-1.82 %),1050100,37017610000,0,0,35.7,35.75,35.05
2025-05-16,35.75,35.75,0.2(0.56 %),1451300,51909060000,0,0,35.6,36.1,35.55
2025-05-15,35.55,35.55,-0.15(-0.42 %),1228900,43722660000,0,0,35.7,35.95,35.4
2025-05-14,35.7,35.7,0.15(0.42 %),2599300,93053400000,0,0,35.7,36.25,35.6
2025-05-13,35.55,35.55,0.05(0.14 %),1535800,54773205000,0,0,36.0,36.0,35.55
2025-05-12,35.5,35.5,0.35(1.00 %),1724800,61045970000,0,0,35.15,35.7,35.15
2025-05-09,35.15,35.15,-0.55(-1.54 %),1594600,56114665000,0,0,35.7,35.8,35.0
2025-05-08,35.7,35.7,2.2(6.57 %),4048300,141565920000,44600,1494100000,33.2,35.8,33.2
2025-05-07,33.5,33.5,-0.4(-1.18 %),2037600,68127720000,0,0,33.0,33.8,33.0
2025-05-06,33.9,33.9,0.25(0.74 %),1536800,52471495000,0,0,33.9,34.6,33.7
2025-05-05,33.65,33.65,-0.25(-0.74 %),657900,22029440000,0,0,33.75,33.75,33.2
2025-04-29,33.9,33.9,0.1(0.30 %),356900,12096000000,145000,4979000000,33.8,34.0,33.8
2025-04-28,33.8,33.8,-0.45(-1.31 %),607800,20532000000,0,0,34.25,34.25,33.65
2025-04-25,34.25,34.25,0.6(1.78 %),1458100,49590000000,0,0,33.7,34.45,33.65
2025-04-24,33.65,33.65,0.2(0.60 %),934400,31664000000,0,0,33.6,34.25,33.6
2025-04-23,33.45,33.45,0.35(1.06 %),794900,26571000000,0,0,33.7,33.8,33.15
2025-04-22,33.1,33.1,-0.7(-2.07 %),1192700,38816000000,0,0,33.8,33.8,31.45
2025-04-21,33.8,33.8,-0.2(-0.59 %),417900,14120000000,0,0,34.0,34.25,33.5
2025-04-18,34.0,34.0,0.15(0.44 %),607000,20774000000,0,0,34.25,34.45,34.0
2025-04-17,33.85,33.85,0.85(2.58 %),801800,26645000000,0,0,32.95,33.9,32.75
2025-04-16,33.0,33.0,-0.6(-1.79 %),1204700,40354000000,0,0,33.6,34.1,33.0
2025-04-15,33.6,33.6,-1.25(-3.59 %),1652500,56088000000,0,0,34.5,34.75,33.6
2025-04-14,34.85,34.85,-0.5(-1.41 %),1580500,54868000000,0,0,35.3,35.35,34.4
2025-04-11,35.35,35.35,2.25(6.80 %),3676400,127593000000,0,0,35.4,35.4,33.45
2025-04-10,33.1,33.1,2.15(6.95 %),41400,1370000000,200000,6620000000,33.1,33.1,33.1
2025-04-09,30.95,30.95,-2.3(-6.92 %),2654100,83488000000,0,0,30.95,33.1,30.95
2025-04-08,33.25,33.25,-2.45(-6.86 %),1900200,63319000000,0,0,33.45,34.9,33.25
2025-04-04,35.7,35.7,-1.7(-4.55 %),4400600,153822000000,0,0,34.8,35.7,34.8
2025-04-03,37.4,37.4,-2.8(-6.97 %),2805800,105702000000,90000,3618000000,38.2,39.2,37.4
2025-04-02,40.2,40.2,-0.1(-0.25 %),349700,14070000000,0,0,40.4,40.4,40.0
2025-04-01,40.3,40.3,0.75(1.90 %),565000,22563000000,0,0,39.85,40.3,39.7
2025-03-31,39.55,39.55,-0.25(-0.63 %),1019000,40064000000,0,0,39.6,39.65,39.05
2025-03-28,39.8,39.8,-1.15(-2.81 %),1649600,66321000000,0,0,40.8,40.95,39.8
2025-03-27,40.95,40.95,-0.2(-0.49 %),792100,32443000000,0,0,41.15,41.3,40.8
2025-03-26,41.15,41.15,0.2(0.49 %),792100,32652000000,0,0,41.1,41.5,41.0
2025-03-25,40.95,40.95,-0.3(-0.73 %),1756600,72098000000,0,0,41.5,41.5,40.9
2025-03-24,41.25,41.25,-0.05(-0.12 %),617200,25353000000,0,0,41.3,41.45,40.9
2025-03-21,41.3,41.3,0(0.00 %),1180400,48550000000,0,0,41.3,41.4,40.95
2025-03-20,41.3,41.3,-0.2(-0.48 %),859000,35334000000,0,0,41.4,41.6,40.95
2025-03-19,41.5,41.5,-0.2(-0.48 %),676100,27956000000,0,0,41.8,41.8,41.1
2025-03-18,41.7,41.7,0.25(0.60 %),1315700,54847000000,0,0,41.6,41.95,41.45
2025-03-17,41.45,41.45,0.05(0.12 %),1372100,56589000000,0,0,41.4,41.7,40.85
2025-03-14,41.4,41.4,-0.3(-0.72 %),1679700,69319000000,0,0,41.6,41.8,41.0
2025-03-13,41.7,41.7,-1.2(-2.80 %),2540000,106978000000,0,0,42.85,42.85,41.7
2025-03-12,42.9,42.9,-0.4(-0.92 %),1183400,50642000000,0,0,43.25,43.25,42.6
2025-03-11,43.3,43.3,0.3(0.70 %),1582300,68024000000,0,0,42.6,43.3,42.4
2025-03-10,43.0,43.0,0.15(0.35 %),2077400,88181000000,0,0,43.0,43.0,42.2
2025-03-07,42.85,42.85,-0.8(-1.83 %),3052600,131114000000,0,0,43.6,43.6,42.55
2025-03-06,43.65,43.65,-0.1(-0.23 %),2031600,88182000000,0,0,43.7,43.8,42.7
2025-03-05,43.75,43.75,-0.75(-1.69 %),1231500,54220000000,0,0,44.5,44.5,43.75
2025-03-04,44.5,44.5,0.3(0.68 %),2099000,92655000000,0,0,44.2,44.55,43.7
2025-03-03,44.2,44.2,0.65(1.49 %),2398400,105586000000,0,0,43.4,44.3,43.25
2025-02-28,43.55,43.55,0.6(1.40 %),1736700,75282000000,0,0,42.95,43.7,42.95
2025-02-27,42.95,42.95,-0.3(-0.69 %),1384900,59596000000,0,0,43.2,43.4,42.85
2025-02-26,43.25,43.25,-0.05(-0.12 %),1081700,46661000000,0,0,43.3,43.45,43.0
2025-02-25,43.3,43.3,0.3(0.70 %),1837800,79537000000,0,0,43.0,43.6,43.0
2025-02-24,43.0,43.0,-0.2(-0.46 %),1506700,64568000000,0,0,43.1,43.15,42.65
2025-02-21,43.2,43.2,0.1(0.23 %),1857100,79945000000,0,0,42.8,43.5,42.7
2025-02-20,43.1,43.1,-0.1(-0.23 %),1277000,55015000000,0,0,43.35,43.35,42.9
2025-02-19,43.2,43.2,0.6(1.41 %),2234800,96340000000,0,0,43.0,43.3,42.8
2025-02-18,42.6,42.6,0.55(1.31 %),1697200,72056000000,0,0,42.0,42.75,41.9
2025-02-17,42.05,42.05,-0.3(-0.71 %),2503600,106275000000,0,0,42.4,43.1,41.9
2025-02-14,42.35,42.35,0.35(0.83 %),2154600,91322000000,0,0,42.4,42.75,42.0
2025-02-13,42.0,42.0,0.65(1.57 %),2400000,99995000000,0,0,41.35,42.2,40.95
2025-02-12,41.35,41.35,0.15(0.36 %),1136400,46881000000,0,0,41.2,41.45,41.1
2025-02-11,41.2,41.2,0.8(1.98 %),2096000,86077000000,0,0,40.5,41.3,40.4
2025-02-10,40.4,40.4,0.55(1.38 %),2002500,80993000000,0,0,39.8,40.75,39.6
2025-02-07,39.85,39.85,-0.05(-0.13 %),734700,29222000000,0,0,39.9,39.9,39.7
2025-02-06,39.9,39.9,0(0.00 %),601300,23897000000,0,0,40.0,40.0,39.6
2025-02-05,39.9,39.9,-0.1(-0.25 %),623200,24860000000,0,0,40.15,40.2,39.7
2025-02-04,40.0,40.0,0.7(1.78 %),946300,37718000000,0,0,39.4,40.2,39.4
2025-01-24,39.5,39.5,-0.1(-0.25 %),570100,22454000000,0,0,39.1,39.55,39.1
2025-01-23,39.6,39.6,0.45(1.15 %),505800,19808000000,0,0,39.2,39.7,38.95
2025-01-22,39.15,39.15,-0.7(-1.76 %),873000,34256000000,0,0,39.9,39.9,39.15
2025-01-21,39.85,39.85,0(0.00 %),873000,34757000000,0,0,39.95,40.35,39.4
2025-01-20,39.85,39.85,-0.15(-0.38 %),402200,16050000000,0,0,40.0,40.0,39.75
2025-01-17,40.0,40.0,0(0.00 %),771900,30759000000,0,0,39.95,40.0,39.6
2025-01-16,40.0,40.0,0(0.00 %),1053800,42200000000,0,0,40.35,40.35,39.75
2025-01-15,40.0,40.0,0.25(0.63 %),1316400,52508000000,0,0,39.9,40.25,39.6
2025-01-14,39.75,39.75,0.85(2.19 %),1717100,68109000000,0,0,39.05,40.1,39.05
2025-01-13,38.9,38.9,0.8(2.10 %),988600,38293000000,0,0,38.55,38.9,38.35
2025-01-10,38.1,38.1,-0.9(-2.31 %),715700,27567000000,0,0,38.85,39.05,38.0
2025-01-09,39.0,39.0,0.7(1.83 %),1723700,67059000000,0,0,38.5,39.3,38.3
2025-01-08,38.3,38.3,0.4(1.06 %),914900,34506000000,0,0,37.95,38.3,37.3
2025-01-07,37.9,37.9,-0.45(-1.17 %),859500,32762000000,0,0,38.65,38.65,37.9
2025-01-06,38.35,38.35,-0.1(-0.26 %),671000,25832000000,0,0,38.45,38.75,38.15
2025-01-03,38.45,38.45,0.3(0.79 %),786900,30242000000,0,0,38.55,38.6,38.1
2025-01-02,38.15,38.15,0.65(1.73 %),546600,20801000000,0,0,37.95,38.4,37.95
2024-12-31,37.5,37.5,-0.7(-1.83 %),710600,26948000000,0,0,38.25,38.4,37.5
2024-12-30,38.2,38.2,-0.3(-0.78 %),613600,23577000000,0,0,38.55,38.7,38.2
2024-12-27,38.5,38.5,0.05(0.13 %),1059900,40694000000,0,0,38.6,38.7,38.25
2024-12-26,38.45,38.45,-0.15(-0.39 %),756200,29375000000,0,0,38.8,39.1,38.45
2024-12-25,38.6,38.6,0.15(0.39 %),740200,28647000000,0,0,38.45,38.9,38.45
2024-12-24,38.45,38.45,-0.3(-0.77 %),603500,23211000000,0,0,38.85,38.85,38.25
2024-12-23,38.75,38.75,-0.25(-0.64 %),526800,20494000000,0,0,39.1,39.4,38.75
2024-12-20,39.0,39.0,-0.4(-1.02 %),592000,23195000000,0,0,39.6,39.75,38.65
2024-12-19,39.4,39.4,0.1(0.25 %),776300,30597000000,0,0,38.9,40.0,38.7
2024-12-18,39.3,39.3,0.4(1.03 %),791700,30870000000,0,0,38.7,39.75,38.7
2024-12-17,38.9,38.9,0.2(0.52 %),438400,17008000000,0,0,38.65,38.9,38.65
2024-12-16,38.7,38.7,0(0.00 %),647300,25078000000,0,0,39.0,39.0,38.65
2024-12-13,38.7,38.7,-0.7(-1.78 %),1285500,50146000000,0,0,39.4,39.4,38.7
2024-12-12,39.4,39.4,-0.5(-1.25 %),842600,33426000000,0,0,39.85,40.15,39.4
2024-12-11,39.9,39.9,-0.4(-0.99 %),546600,21879000000,0,0,40.2,40.3,39.85
2024-12-10,40.3,40.3,0.15(0.37 %),284700,11465000000,0,0,40.15,40.45,40.1
2024-12-09,40.15,40.15,-0.3(-0.74 %),573300,23042000000,0,0,40.45,40.45,40.0
2024-12-06,40.45,40.45,-0.15(-0.37 %),787600,31799000000,0,0,40.6,40.75,40.1
2024-12-05,40.6,40.6,0.3(0.74 %),716100,28907000000,0,0,40.3,40.7,40.0
2024-12-04,40.3,40.3,0.3(0.75 %),651300,26358000000,0,0,40.05,40.9,40.05
2024-12-03,40.0,40.0,0.25(0.63 %),762700,30492000000,0,0,39.65,40.6,39.45
2024-12-02,39.75,39.75,-0.25(-0.62 %),601800,23893000000,0,0,40.0,40.15,39.45
2024-11-29,40.0,40.0,0(0.00 %),462600,18611000000,0,0,40.3,40.5,40.0
2024-11-28,40.0,40.0,0.9(2.30 %),1179100,47219000000,0,0,39.25,40.55,39.1
2024-11-27,39.1,39.1,-0.15(-0.38 %),259900,10169000000,0,0,39.25,39.4,39.05
2024-11-26,39.25,39.25,-0.15(-0.38 %),524700,20560000000,0,0,39.15,39.45,38.8
2024-11-25,39.4,39.4,0.25(0.64 %),368000,14433000000,0,0,39.3,39.45,39.0
2024-11-22,39.15,39.15,0.1(0.26 %),309800,12103000000,0,0,39.35,39.35,38.9
2024-11-21,39.05,39.05,0.45(1.17 %),416500,16200000000,0,0,38.65,39.3,38.35
2024-11-20,38.6,38.6,0.3(0.78 %),443300,17062000000,0,0,38.05,38.8,38.0
2024-11-19,38.3,38.3,0.6(1.59 %),636100,24472000000,0,0,38.0,38.8,38.0
2024-11-18,37.7,37.7,-0.7(-1.82 %),964100,36543000000,0,0,38.35,38.85,37.35
2024-11-15,38.4,38.4,-0.55(-1.41 %),736000,28565000000,0,0,39.25,39.25,38.4
2024-11-14,38.95,38.95,0.05(0.13 %),867400,34046000000,0,0,38.85,39.75,38.7
2024-11-13,38.9,38.9,-0.5(-1.27 %),965100,37573000000,0,0,39.4,39.45,38.6
2024-11-12,39.4,39.4,0.15(0.38 %),730700,28717000000,0,0,39.2,39.55,39.1
2024-11-11,39.25,39.25,-0.8(-2.00 %),1218300,48192000000,20000,857000000,40.0,40.2,39.1
2024-11-08,40.05,40.05,-0.25(-0.62 %),608500,24452000000,0,0,40.55,40.55,40.0
2024-11-07,40.3,40.3,0.15(0.37 %),564800,22838000000,0,0,40.3,40.65,40.25
2024-11-06,40.15,40.15,0.1(0.25 %),554900,22362000000,0,0,40.5,40.5,40.15
2024-11-05,40.05,40.05,0.15(0.38 %),477600,19152000000,0,0,39.7,40.35,39.7
2024-11-04,39.9,39.9,-0.7(-1.72 %),1077200,43291000000,0,0,40.55,40.7,39.9
2024-11-01,40.6,40.6,-0.5(-1.22 %),815900,33290000000,0,0,41.1,41.1,40.6
2024-10-31,41.1,41.1,-0.3(-0.72 %),560300,23054000000,0,0,41.4,41.4,41.0
2024-10-30,41.4,41.4,-0.5(-1.19 %),581000,24134000000,0,0,42.0,42.0,41.35
2024-10-29,41.9,41.9,-0.1(-0.24 %),532900,22239000000,0,0,41.5,41.95,41.5
2024-10-28,42.0,42.0,0.45(1.08 %),770900,31711000000,0,0,41.55,42.0,40.75
2024-10-25,41.55,41.55,-0.2(-0.48 %),475900,19827000000,0,0,41.8,41.85,41.45
