Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-05-09,27.6,0.0,-27.4(-100.00 %),900,27600,0,0,27300.0,28.0,0.0
2025-05-08,27.4,27.4,0.4(1.48 %),18382100,499820105000,0,0,27.05,27.45,26.85
2025-05-07,27.0,27.0,0.15(0.56 %),13694100,368018090000,3294000,90294500000,26.85,27.1,26.6
2025-05-06,26.85,26.85,0.35(1.32 %),24407100,656492195000,314400,8748180000,26.5,27.2,26.4
2025-05-05,26.5,26.5,0.2(0.76 %),9048300,238251725000,4450200,122160423000,26.65,26.65,26.15
2025-04-29,26.3,26.3,0.3(1.15 %),18134300,478199000000,8668700,226613710000,26.0,26.6,26.0
2025-04-28,26.0,26.0,0.05(0.19 %),11163200,289669000000,19026202,495751059600,26.0,26.1,25.8
2025-04-25,25.95,25.95,0.2(0.78 %),19491800,502618000000,6092500,159744594000,25.95,26.05,25.4
2025-04-24,25.75,25.75,-0.35(-1.34 %),8915900,230498000000,697500,17633130000,26.0,26.1,25.7
2025-04-23,26.1,26.1,0.95(3.78 %),18232600,469056000000,2166501,52114568400,25.75,26.3,25.15
2025-04-22,25.15,25.15,-0.6(-2.33 %),29523500,734185000000,5556301,147111819950,25.25,25.65,23.95
2025-04-21,25.75,25.75,-0.25(-0.96 %),12192200,315465000000,145300,3853356000,26.0,26.3,25.6
2025-04-18,26.0,26.0,0(0.00 %),16887000,442863000000,1217900,32269372000,26.5,26.5,26.0
2025-04-17,26.0,26.0,0.2(0.78 %),14259300,367481000000,1616001,42352024000,25.6,26.0,25.55
2025-04-16,25.8,25.8,-0.2(-0.77 %),18147100,472678000000,4241401,112704254200,26.15,26.45,25.75
2025-04-15,26.0,26.0,-0.55(-2.07 %),21183400,551722000000,3192100,84501634000,26.05,26.35,25.8
2025-04-14,26.55,26.55,-0.05(-0.19 %),19905300,525253000000,4841800,129186430000,26.6,26.7,26.1
2025-04-11,26.6,26.6,1.35(5.35 %),47940500,1254687000000,8716129,229451239000,26.5,26.6,25.6
2025-04-10,25.25,25.25,1.65(6.99 %),1241800,31355000000,4288100,101212525000,25.25,25.25,25.25
2025-04-09,23.6,23.6,-0.35(-1.46 %),40792200,965677000000,1870600,41899980000,22.3,24.9,22.3
2025-04-08,23.95,23.95,-1.75(-6.81 %),33465800,805508000000,1389002,33279597900,25.0,25.0,23.95
2025-04-04,25.7,25.7,-0.25(-0.96 %),56795800,1413050000000,4802200,119710095000,24.15,25.75,24.15
2025-04-03,25.95,25.95,-1.95(-6.99 %),58893200,1554360000000,5195301,138090685950,26.95,27.2,25.95
2025-04-02,27.9,27.9,-0.05(-0.18 %),6668600,186553000000,10887900,299134910000,28.0,28.15,27.85
2025-04-01,27.95,27.95,0.45(1.64 %),9054500,250367000000,3020000,88750000000,27.5,28.0,27.4
2025-03-31,27.5,27.5,-0.05(-0.18 %),12983300,354920000000,7315200,204969720000,27.4,27.5,27.2
2025-03-28,27.55,27.55,-0.2(-0.72 %),12353600,340471000000,2910000,84292650000,27.75,27.8,27.45
2025-03-27,27.75,27.75,-0.25(-0.89 %),7518900,210396000000,4388888,119140285600,28.0,28.15,27.75
2025-03-26,28.0,28.0,0.1(0.36 %),24089300,680049000000,915601,26300049950,27.9,28.5,27.8
2025-03-25,27.9,27.9,-0.1(-0.36 %),8130100,227347000000,9618719,270859792050,28.1,28.2,27.85
2025-03-24,28.0,28.0,0.65(2.38 %),21083700,586338000000,3503000,99074750000,27.35,28.2,27.2
2025-03-21,27.35,27.35,-0.1(-0.36 %),7447300,204140000000,1948902,52337551080,27.35,27.55,27.3
2025-03-20,27.45,27.45,0.2(0.73 %),14430700,393928000000,5380506,146098573660,27.5,27.55,27.1
2025-03-19,27.25,27.25,-0.15(-0.55 %),12083700,329387000000,29747600,816418235000,27.3,27.35,27.15
2025-03-18,27.4,27.4,-0.05(-0.18 %),7945400,217787000000,3857600,108583293000,27.5,27.6,27.3
2025-03-17,27.45,27.45,0.15(0.55 %),11002100,300448000000,8461311,233597283310,27.35,27.45,27.15
2025-03-14,27.3,27.3,0(0.00 %),10662000,290894000000,10035701,285810423400,27.1,27.4,27.1
2025-03-13,27.3,27.3,-0.55(-1.97 %),18991700,523047000000,1527300,43828464000,27.8,27.8,27.25
2025-03-12,27.85,27.85,-0.15(-0.54 %),10861400,303651000000,3914700,106691432000,28.1,28.25,27.8
2025-03-11,28.0,28.0,0.2(0.72 %),15313400,423731000000,318601,9032335900,27.5,28.0,27.45
2025-03-10,27.8,27.8,0.05(0.18 %),13907700,388531000000,2563200,71262560000,27.75,28.3,27.7
2025-03-07,27.75,27.75,0.05(0.18 %),14922200,413058000000,532600,15045950000,27.7,27.9,27.45
2025-03-06,27.7,27.7,0.4(1.47 %),12570100,346009000000,6322801,176936465400,27.45,27.7,27.35
2025-03-05,27.3,27.3,-0.2(-0.73 %),13269400,363718000000,4251001,117117025600,27.5,27.6,27.3
2025-03-04,27.5,27.5,1.4(5.36 %),40196300,1080533000000,19046801,525617392300,26.1,27.55,26.0
2025-03-03,26.1,26.1,0(0.00 %),9359400,245016000000,36166601,895933924300,26.15,26.3,26.05
2025-02-28,26.1,26.1,-0.15(-0.57 %),12220900,319678000000,3967600,104158000000,26.25,26.3,26.05
2025-02-27,26.25,26.25,-0.05(-0.19 %),12505900,327723000000,4498800,120002536000,26.4,26.4,26.0
2025-02-26,26.3,26.3,-0.1(-0.38 %),9946900,262538000000,5315700,140430303000,26.4,26.55,26.3
2025-02-25,26.4,26.4,-0.1(-0.38 %),14496400,384394000000,0,0,26.6,26.8,26.35
2025-02-24,26.5,26.5,0(0.00 %),11762200,311786000000,11512202,303565519300,26.4,26.65,26.3
2025-02-21,26.5,26.5,-0.05(-0.19 %),8800600,233204000000,15424301,409197276700,26.6,26.6,26.4
2025-02-20,26.55,26.55,0.45(1.72 %),21179500,559353000000,3301600,87139623000,26.2,26.6,26.05
2025-02-19,26.1,26.1,0.25(0.97 %),12938100,336528000000,688500,17881947000,25.95,26.15,25.8
2025-02-18,25.85,25.85,0.15(0.58 %),10757000,278425000000,48026,1241472100,25.7,26.1,25.65
2025-02-17,25.7,25.7,-0.3(-1.15 %),10972700,283843000000,2969648,75126251600,26.0,26.1,25.7
2025-02-14,26.0,26.0,0.05(0.19 %),10239600,266397000000,2616000,66583900000,26.1,26.2,25.9
2025-02-13,25.95,25.95,0.25(0.97 %),11953600,308484000000,923800,23877625000,25.6,26.0,25.55
2025-02-12,25.7,25.7,-0.2(-0.77 %),11524500,297400000000,815000,21111250000,26.0,26.0,25.7
2025-02-11,25.9,25.9,0.15(0.58 %),15667000,406231000000,745900,19321105000,26.1,26.15,25.75
2025-02-10,25.75,25.75,0(0.00 %),22152900,571837000000,7930001,203256523950,25.75,26.25,25.45
2025-02-07,25.75,25.75,0.55(2.18 %),26585000,679303000000,389888,9959216000,25.45,25.8,25.2
2025-02-06,25.2,25.2,0.5(2.02 %),37579600,949792000000,1728200,42834397000,24.9,25.5,24.8
2025-02-05,24.7,24.7,0.05(0.20 %),9430900,232835000000,388801,9593132950,24.85,24.9,24.55
2025-02-04,24.65,24.65,0.4(1.65 %),12471500,305940000000,7774100,181506975000,24.35,24.7,24.3
2025-01-24,24.75,24.75,0.15(0.61 %),10331500,256073000000,874600,21663842000,24.8,24.85,24.65
2025-01-23,24.6,24.6,0.4(1.65 %),21069200,518878000000,6162800,149980160000,24.35,24.85,24.25
2025-01-22,24.2,24.2,0(0.00 %),7455200,180863000000,6319001,154107822550,24.45,24.45,24.15
2025-01-21,24.2,24.2,-0.2(-0.82 %),8127000,197425000000,312900,7581015000,24.4,24.5,24.15
2025-01-20,24.4,24.4,0(0.00 %),5183100,126296000000,8095900,198710400000,24.4,24.5,24.25
2025-01-17,24.4,24.4,0.55(2.31 %),10016400,241180000000,290150,6915347000,23.85,24.4,23.75
2025-01-16,23.85,23.85,0.15(0.63 %),8074100,191942000000,638900,15213730000,23.85,23.95,23.6
2025-01-15,23.7,23.7,0.1(0.42 %),6720200,159898000000,356700,8135130000,23.8,23.9,23.65
2025-01-14,23.6,23.6,-0.2(-0.84 %),4180100,98696000000,662000,14952740000,23.55,23.75,23.5
2025-01-13,23.8,23.8,0.4(1.71 %),7939900,185556000000,64300,1500864000,23.2,23.8,23.15
2025-01-10,23.4,23.4,-0.55(-2.30 %),6232100,147626000000,425000,9477500000,24.0,24.0,23.4
2025-01-09,23.95,23.95,0(0.00 %),4709000,112427000000,1450600,34756440000,24.05,24.05,23.75
2025-01-08,23.95,23.95,0.3(1.27 %),11947100,285854000000,853900,20425288000,23.8,24.3,23.65
2025-01-07,23.65,23.65,0.05(0.21 %),7615500,180721000000,638500,15128950000,23.9,23.9,23.55
2025-01-06,23.6,23.6,0(0.00 %),8132700,192549000000,42400,973120000,23.6,23.85,23.5
2025-01-03,23.6,23.6,-0.75(-3.08 %),17426900,417061000000,826000,20426000000,24.35,24.35,23.6
2025-01-02,24.35,24.35,-0.3(-1.22 %),7834500,191263000000,4500000,103980000000,24.65,24.7,24.3
2024-12-31,24.65,24.65,0.25(1.02 %),9403700,230694000000,2707800,66358960000,24.35,24.65,24.35
2024-12-30,24.4,24.4,-0.2(-0.81 %),10145800,248693000000,7435400,181723738000,24.75,24.75,24.35
2024-12-27,24.6,24.6,0.25(1.03 %),15395600,379726000000,1887250,46989525000,24.5,24.9,24.45
2024-12-26,24.35,24.35,-0.1(-0.41 %),5475600,133655000000,10936751,255218499500,24.5,24.55,24.3
2024-12-25,24.45,24.45,0.45(1.88 %),18370600,449441000000,4114161,99508691700,24.0,24.9,23.95
2024-12-24,24.0,24.0,0.1(0.42 %),5175500,123703000000,5342489,126952686800,24.05,24.05,23.8
2024-12-23,23.9,23.9,0.1(0.42 %),3208600,76832000000,4694200,113546867500,24.0,24.05,23.8
2024-12-20,23.8,23.8,0.05(0.21 %),4594100,109557000000,4747650,112542604500,23.85,23.95,23.8
2024-12-19,23.75,23.75,-0.45(-1.86 %),15028500,359406000000,3836298,93558417450,24.0,24.05,23.75
2024-12-18,24.2,24.2,0(0.00 %),5786300,139936000000,24338801,592808105400,24.25,24.3,24.1
2024-12-17,24.2,24.2,-0.1(-0.41 %),5387400,130497000000,11144001,273095724300,24.4,24.4,24.15
2024-12-16,24.3,24.3,-0.05(-0.21 %),6356400,154116000000,6973245,169020905500,24.3,24.4,24.1
2024-12-13,24.35,24.35,0.1(0.41 %),11020400,268555000000,4712100,116126750000,24.3,24.55,24.1
2024-12-12,24.25,24.25,0.1(0.41 %),18543300,451513000000,32000,771200000,24.2,24.5,24.15
2024-12-11,24.15,24.15,0.1(0.42 %),10341200,249897000000,300000,7202500000,24.05,24.3,24.0
2024-12-10,24.05,24.05,-0.1(-0.41 %),7039400,169424000000,1182000,28372400000,24.05,24.2,24.0
2024-12-09,24.15,24.15,0(0.00 %),7597400,183084000000,720800,17428360000,24.1,24.3,23.95
2024-12-06,24.15,24.15,-0.05(-0.21 %),10921300,263157000000,6523462,157063891340,24.2,24.25,23.95
2024-12-05,24.2,24.2,0.75(3.20 %),14188900,337845000000,3462300,82521950000,23.45,24.2,23.35
2024-12-04,23.45,23.45,-0.2(-0.85 %),8179300,191973000000,312002,7385444000,23.45,23.6,23.4
2024-12-03,23.65,23.65,0(0.00 %),8333300,196574000000,1337400,32187080000,23.65,23.75,23.45
2024-12-02,23.65,23.65,0.05(0.21 %),6569300,154697000000,502001,11860021950,23.7,23.7,23.4
2024-11-29,23.6,23.6,0(0.00 %),8447400,198643000000,2527000,58860500000,23.5,23.6,23.35
2024-11-28,23.6,23.6,0.1(0.43 %),8136900,191321000000,1654000,38881800000,23.65,23.7,23.4
2024-11-27,23.5,23.5,-0.05(-0.21 %),6388200,149672000000,3340000,78346650000,23.5,23.6,23.35
2024-11-26,23.55,23.55,0.05(0.21 %),6757500,159335000000,7376000,176960000000,23.5,23.7,23.45
2024-11-25,23.5,23.5,0(0.00 %),7187600,168869000000,4551000,109204000000,23.5,23.6,23.4
2024-11-22,23.5,23.5,0.3(1.29 %),14405800,337326000000,18647801,459018263450,23.2,23.55,23.15
2024-11-21,23.2,23.2,0.35(1.53 %),11213000,256443000000,361400,8184000000,22.8,23.2,22.6
2024-11-20,22.85,22.85,0.45(2.01 %),10247500,231178000000,32000,761600000,22.3,22.85,22.25
