Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2024,5.9,1.1,,0.221,0.022,3709,19182,0.041,0.257,0.016,0.922,0.032,0.104,0.151,0.307,0.1,0.095,9.6,0.552,0.414,0.713,0.688,1.088,0.655,0.011,0.324,8.6,0.014,0.21,0.271,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4.7,1.0,0.032,0.245,0.025,3388,15848,0.048,0.182,0.016,1.17,0.044,0.102,0.158,0.315,0.1,0.028,9.8,0.548,0.445,0.675,0.647,1.077,0.627,0.01,0.364,8.8,0.012,0.056,0.327,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,4.3,0.9,0.035,0.258,0.026,3294,15003,0.057,0.21,0.011,2.38,0.029,0.109,0.173,0.325,0.1,0.353,9.2,0.539,0.398,0.672,0.632,1.038,0.647,0.007,0.371,8.2,0.012,0.252,0.267,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,9.9,2.0,,0.236,0.023,2435,11984,0.05,0.291,0.009,2.68,0.027,0.103,0.172,0.335,0.1,0.336,9.7,0.532,0.358,0.643,0.599,0.945,0.68,0.005,0.394,8.7,0.011,0.085,0.219,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,7.8,1.3,,0.192,0.018,1822,11049,0.047,0.259,0.011,1.341,0.033,0.101,0.168,0.386,0.1,-0.12,9.9,0.495,0.315,0.645,0.603,0.959,0.673,0.007,0.387,8.9,0.018,0.047,0.192,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,6.5,1.3,,0.221,0.02,2070,10556,0.049,0.27,0.012,1.105,0.04,0.097,0.159,0.394,0.1,0.28,10.3,0.487,0.327,0.645,0.608,0.918,0.702,0.007,0.388,9.3,0.021,0.167,0.166,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,7.0,1.2,0.06,0.201,0.018,1617,9044,0.045,0.254,0.013,1.123,0.035,0.094,0.159,0.447,0.1,0.737,10.6,0.441,0.317,0.628,0.593,0.895,0.702,0.008,0.403,9.6,0.01,0.154,0.166,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,13.0,1.5,0.06,0.132,0.012,931,7834,0.041,0.191,0.012,0.959,0.035,0.094,0.161,0.433,0.1,0.209,10.6,0.429,0.252,0.622,0.587,0.837,0.744,0.007,0.41,9.6,0.019,0.113,0.222,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7.9,0.9,0.06,0.121,0.012,770,7037,0.035,0.19,0.013,1.032,0.037,0.104,0.176,0.424,0.1,0.167,9.6,0.455,0.293,0.624,0.588,0.774,0.806,0.008,0.407,8.6,0.014,0.147,0.242,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9.2,1.0,0.05,0.127,0.012,660,6135,0.037,0.166,0.016,1.014,0.034,0.105,0.191,0.393,0.1,0.008,9.5,0.473,0.286,0.585,0.549,0.668,0.875,0.009,0.454,8.5,0.023,0.4,0.207,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
